unique_id,disvalue_term,column_found,source_text
DOC_187,surveillance,normalized_values," humanity’s welfare, ethical responsibility, collaboration, trust, openness, integrity, sustainability, inclusivity, safety. notably, the 2024 update removed explicit prohibitions against developing ai for weapons or surveillance technologies. this shift has been linked to google's intent to engage more flexibly in defense and security sectors, aligning with broader industry trends. "
DOC_188,bias,normalized_principles,"principles: be socially beneficial; avoid creating or reinforcing unfair bias; be built and tested for safety; be accountable to people; incorporate privacy design principles; uphold high standards of scientific excellence; be made available for uses that accord with these principles. ​
"
DOC_194,harm,normalized_values," social harmony, equitable development, trust, collective well-being, transparency​"
DOC_196,bias,normalized_principles,"principles: physician involvement, high-quality ai development, transparency, reproducibility, bias mitigation, patient privacy, security, education, legal oversight, equitable access.
"
DOC_205,deception,normalized_principles,"principles: safety, security, transparency, accountability, non-deception.​
"
DOC_210,bias,normalized_principles,"principles: governance, interpretability and explainability, bias and fairness, robustness and security, ethics and regulation; "
DOC_211,bias,normalized_principles,"principles: governance, interpretability and explainability, bias and fairness, robustness and security, ethics and regulation; "
DOC_212,harm,normalized_principles,"principles: human dignity, human rights, fundamental freedoms, benefit and harm, autonomy, justice, responsibility.​
"
DOC_213,harm,normalized_principles,"principles: human dignity, human rights, fundamental freedoms, benefit and harm, autonomy, justice, responsibility. "
DOC_216,manipulation,normalized_principles,"human safety, freedom of choice, privacy protection, data management, prevention of manipulation, social connectivity, equal access, limitation on human enhancement"
DOC_225,bias,normalized_principles,"principles: inclusivity, transparency, accountability, privacy safeguards, ethical and responsible ai use, ensuring societal trust, mitigating biases and discrimination, securing informed consent, data minimization and purpose limitation, accuracy and security in data handling, and equitable ai access. "
DOC_233,harm,normalized_principles,"proportionality and do not harm, safety and security, fairness and non-discrimination, sustainability, right to privacy and data protection, human oversight and determination, transparency and explainability, responsibility and accountability, awareness and literacy, multi-stakeholder and adaptive governance and collaboration"
DOC_256,harm,normalized_principles,"principles: safety, fairness, transparency, value alignment, risk mitigation, minimization of harm, addressing misuse and misinformation, ethical integration into society; "
DOC_256,misinformation,normalized_principles,"principles: safety, fairness, transparency, value alignment, risk mitigation, minimization of harm, addressing misuse and misinformation, ethical integration into society; "
DOC_262,bias,normalized_principles,"principles: pattern recognition, predictive modeling, real-time monitoring, bias mitigation, privacy protection, accountability.

"
DOC_264,bias,normalized_principles,"social-systems analysis, ethical design frameworks, ai bias and discrimination, social responsibility"
DOC_266,harm,normalized_principles,"principles: human dignity, human rights, fundamental freedoms, benefit and harm, autonomy, justice, responsibility.​

"
DOC_282,harm,normalized_values," compassion, ethical responsibility, societal well-being, harmony"
