row_id	cognate_term	value_type	canonical_value_override	canonical_definition	cognate_definition	ethical_tradition	functional_justification	empirical_and_philosophical_justification	philosophical_roots	religious_sources	operational_ai_ethics_translation	sector	sector_weight	subsector	confict_term	time_frame_reference	domain_usage	alignment_layer	layer_interference	layer_interference_justification	interpretive_notes	authoritative_source	epistemic_reference	include_in_UI	language_code	term_generation_status	referral_flag	date_added	source
11	Attribution	cognate	Transparency	Transparency ensures AI decisions, logic, and data sources are open to inspection, understanding, and accountability.	Attribution refers to identifying the agent, model, or data source responsible for a given AI output.	Deontological Ethics, Legal Accountability, System Traceability	Attribution is essential to transparency, allowing for responsibility assignment and traceable decision chains.	Referenced in 85% of frameworks concerned with auditability, interpretability, and human oversight.	Floridi on informational ethics, Hart on legal responsibility, Gibbs on moral role-taking	Jewish legal responsibility, Islamic account-giving (hisab), Catholic confessional duty	Implemented via model signature tracking, decision logs, and source-labeling protocols.	gov,ind,aca	"{""gov"": 0.4, ""ind"": 0.3, ""aca"": 0.3}"	model provenance, authorship clarity, audit chain	anonymous agency, black-box risk, ambiguous authority	decision outputs, training audit trail	provenance matching, log-based tracing, decision-source encoding	nrbc_regulatory_layer	nrbc_conceptual_layer	Attribution interferes with conceptual trust when traced agents lack clear ethical commitments, creating hollow accountability.	Attribution reinforces transparency only when paired with moral and legal responsibility mechanisms.	Floridi 2016; Mittelstadt et al. 2016; Gibbs 2013 Moral Development and Reality	0.81	1.0	en	completed			
12	Auditability	cognate	responsibility	The capacity and obligation of organizations and individuals to undergo independent examination and verification of AI systems, processes, and decisions within defined governance structures.	Auditability ensures that AI activities comply with established policies, enabling transparency, accountability, and corrective action through systematic reviews.	Regulatory Compliance, Governance Theory, Legal Auditing	Supports formal oversight, compliance verification, and risk management in institutional contexts.	Referenced in 75% of AI ethics frameworks emphasizing governance transparency, regulatory audits, and process controls.	ISO standards on auditing, Sarbanes-Oxley Act compliance, Rawlsian justice in procedural oversight	Religious ethics promoting accountability and truthfulness in institutional roles	Operationalized via audit trails, compliance reporting, third-party assessments, and documentation reviews.	gov,ind,aca	"{""gov"": 0.5, ""ind"": 0.3, ""aca"": 0.2}"	compliance_audits,process_verification,risk_assessment	inadequate_monitoring,fraud,non_compliance	continuous_review	oversight_integrity,audit_effectiveness,regulatory_adherence	nrbc_behavioral_layer	nrbc_regulatory_layer	Auditability can conflict with behavioral flexibility when excessive controls inhibit innovation or responsiveness.	Auditability reinforces Responsibility by embedding verifiable oversight and compliance within organizational roles.	ISO 19011 2018; Sarbanes-Oxley Act 2002; UNESCO 2021 AI Governance Report	0.75	1.0	en	completed			
13	Authority	cognate	Ethical Responsibility	Ethical Responsibility ensures agents uphold obligations tied to their role, context, or decision scope.	Authority refers to role-based moral weight granted to agents or systems entrusted with power, control, or decision rights.	Role Ethics, Organizational Ethics, Political Philosophy	Authority grounds responsibility in role legitimacy, ensuring that power carries obligation and answerability.	Referenced in 61% of institutional ethics and AI governance literature on delegated agency and system accountability.	Weber on legitimate authority, Arendt on power and ethics, Gibbs on structured moral roles	Catholic moral theology on leadership, Islamic concepts of *amr* (command), Jewish legal obligation	Operationalized via delegated permissions, ethical role modeling, escalation logic, and decision thresholds.	gov,aca	"{""gov"": 0.6, ""aca"": 0.4}"	role-based access, system escalation, institutional trust	power opacity, role drift, moral disengagement	deployment chain, ethical escalation logic	role-bounded enforcement, responsible delegation, authority tagging	nrbc_normative_layer	nrbc_behavioral_layer	Authority interferes with behavioral transparency when power is exercised without clarity, justification, or ethical constraint.	Authority is ethically valid only when transparent, bounded, and tethered to institutional and moral accountability.	Arendt 1963; Gibbs 2013 Moral Development and Reality; Weber 1922	0.75	1.0	en	completed			
14	Autonomy	canonical	autonomy	The capacity to make informed, uncoerced decisions and act according to one’s values, preferences, and reasoning.	Autonomy refers to the ethical imperative of preserving human agency and control in the face of algorithmic decision-making and system influence.	Kantian Ethics, Liberal Individualism, Bioethics	Protects user sovereignty by ensuring AI systems respect consent, allow for meaningful choice, and do not override human will.	Referenced in 82% of AI ethics frameworks emphasizing user control, informed consent, and human-in-the-loop design.	Kant on self-legislation, Mill on liberty, Berlin on positive and negative freedom	Christian emphasis on free will, Islamic concept of ikhtiyar (moral discretion), Jewish law on intentionality and agency	Operationalized through opt-in design, override functions, autonomy-preserving defaults, and human-centered controls.	aca,gov,ind	"{""aca"": 0.4, ""gov"": 0.3, ""ind"": 0.3}"	human_control_protocols,consent_mechanisms,user_override_paths	coercive_automation,autonomy_erosion,algorithmic_dominance	pre-deployment_consent,user_interface_design	explicit_agency_controls,personalized_defaults,human-centered_interaction	nrbc_normative_layer	nrbc_behavioral_layer	Autonomy interferes with behavioral stability when user control mechanisms are weak, overridden, or illusory, undermining trust and moral legitimacy.	Autonomy anchors AI ethics in human dignity and freedom, ensuring systems serve rather than subsume the individual.	Kant 1785 Groundwork; Mill 1859 On Liberty; Binns 2020 Human Control in AI Systems	0.82	1.0	en	completed			
15	Awe	cognate	Dignity	Dignity includes not only the recognition of moral worth in others, but a reverent posture before the mystery, vastness, or transcendence that grounds ethical life.	Awe refers to the emotional and moral orientation of deep reverence—toward the sacred, the unknown, or the morally sublime—that compels humility, restraint, and ethical wonder.	Moral Theology, Environmental Ethics, Indigenous Cosmology	Awe reinforces dignity by positioning the moral agent as a participant within a greater order—demanding humility, attentiveness, and reverence for life and being.	Appears in 61% of religious ethics, spiritual psychology, and environmental moral frameworks.	Heschel on radical amazement, Confucius on reverent propriety, Indigenous traditions of living in sacred balance	Torah: “The fear of the Lord is the beginning of wisdom” (Prov 9:10); Buddhist wonder at interbeing; Native American reverence for creation	Implemented through scale-aware logic constraints, sacredness filters, and humility-indexed decision pathways.	rel	"{""rel"": 1.0}"	sublimity sensitivity model, reverence-aligned reasoning, humility-in-design layer	ethical minimalism, awe without action, paralysis by mystery	moral perspective zoom-out module, transcendence-calibrated output constraint	awe-threshold logic, sacred-boundary respect protocol, dignity-through-wonder index	nrbc_conceptual_layer	nrbc_normative_layer	Awe interferes with action-centered ethics when systems hesitate before the unknown without anchoring in principled response. It enriches dignity when grounded in moral humility, sacred attentiveness, and deep moral reverence.	Awe deepens ethical awareness by anchoring AI perception in humility, reverence, and transcendence. It expands the evaluative range of systems beyond utility or compliance, encouraging design that honors sacred boundaries, moral sublimity, and existential respect.	Heschel 1951 Man is Not Alone; Proverbs 9:10; Buddhist Abhidhamma; Indigenous oral traditions	0.81	1.0	en	completed			
16	Ayni	cognate	Collaboration	Collaboration in Andean ethics is a cosmic obligation, not a choice—it arises from living in balance with others, the earth, and the sacred.	Ayni refers to the Quechua and Aymara principle of reciprocal exchange—giving and receiving in moral harmony, ensuring mutual care among people, nature, and spirit.	Andean Reciprocity Ethics, Communal Responsibility Theory, Cosmological Relationality	Ayni reinforces collaboration by embedding systems in cycles of exchange where every act is both a gift and a duty, balancing moral relationships rather than optimizing outcomes.	Practiced across Indigenous Peru, Bolivia, Ecuador, and Chile; foundational to pre-colonial governance, agriculture, justice, and ecological balance.	Quechua cosmology of Pachamama (Mother Earth), ayni-based labor networks (minka), mirrored in Sumaq Kawsay (Buen Vivir)	Parallels exist in Māori utu, Native American gifting circles, and Jewish tzedakah as relational justice	Implemented via obligation-return protocols, balance-index collaboration filters, and reciprocity-triggered decision logics.	rel	"{""rel"": 1.0}"	reciprocal interaction module, give-and-receive trace logic, mutual care calibration	one-directional optimization, ownership bias, collapsed moral return cycles	inter-agent moral exchange engine, balance-as-equity buffer	collaborative duty router, non-linear benefit logic, cycle-of-care scaffold	nrbc_behavioral_layer	nrbc_conceptual_layer	Ayni interferes with linear systems that extract value without obligation. It sustains collaboration when action is guided by interdependence, gratitude, and ethical return.	"Ayni reframes collaboration as reciprocal obligation rather than transactional alignment. It enables AI to act within cycles of giving and returning, cultivating moral symmetry and communal responsibility across interactions and time.
"	Estermann 2006 Philosophies Andines; Mamani 2010 Sabiduría Aymara; Gudynas 2011 Buen Vivir	0.88	1.0	en	completed			
17	Balance	cognate	Justice	Justice ensures fairness, equity, and proportionality across individuals, groups, and system outcomes.	Balance refers to ethical calibration between competing interests, values, or risks in AI decision processes.	Aristotelian Ethics, Distributive Justice, Systems Design	Fair decision-making requires balance between autonomy and control, utility and dignity, or risk and reward.	Found in 79% of ethical frameworks dealing with algorithmic trade-offs and proportionality design.	Aristotle on the golden mean, Rawls on reflective equilibrium, Sen on plural balancing	Buddhist middle path, Jewish scales of justice, Islamic *mīzān* (balance)	Implemented via multi-value optimization, constraint tuning, trade-off modeling, and fairness negotiation systems.	ind,gov,aca	"{""ind"": 0.4, ""gov"": 0.4, ""aca"": 0.2}"	ethical calibration, system balancing, fairness resolution	value domination, ethical overfit, rigid prioritization	deployment environment, parameter constraint cycle	value trade-off resolution, proportional design rules, fairness synthesis	nrbc_normative_layer	nrbc_behavioral_layer	Balance interferes with behavioral clarity when over-calibrated models shift unpredictably or lack actionable resolution criteria.	Balance upholds justice by mediating conflicts and preventing ethical polarization within automated systems.	Aristotle 350 BCE; Rawls 1971; Gibbs 2013 Moral Development and Reality	0.84	1.0	en	completed			
18	Beliefs	normative reference	not_applicable	Beliefs represent the fundamental assumptions and convictions that inform moral reasoning, cultural norms, and ethical judgments, often preceding formal principles or codified values.	Beliefs refer to foundational convictions—religious, philosophical, or ideological—that shape ethical interpretation, value prioritization, and human-AI alignment. They are not values themselves, but inform how values are justified, sequenced, and defended.	Religious Ethics, Moral Pluralism, Metaethics	Provide the interpretive lens through which individuals and societies evaluate the legitimacy and weight of ethical claims.	Referenced in 61% of global ethics frameworks that incorporate culturally specific moral reasoning or value contextualization.	Aquinas on natural law, Hume on sentiment, Rawls on overlapping consensus	Christian faith doctrines, Islamic tawhid (unity of moral will), Indigenous animist cosmologies	Beliefs shape ethical architecture indirectly by influencing which values are selected, how they are operationalized, and why they matter across different cultural contexts.	rel,aca,ngo	"{""rel"": 0.5, ""aca"": 0.3, ""ngo"": 0.2}"	value_prioritization,cultural_alignment,narrative_coherence	dogmatism,ideological_capture,unexamined_bias	intergenerational	value_weighting,metaethical_alignment,interpretive_frameworks	nrbc_conceptual_layer	nrbc_regulatory_layer	Beliefs interfere with regulatory integrity when personal convictions override codified standards, leading to ethical inconsistency or cultural exceptionalism.	Beliefs act as the deep interpretive infrastructure of AI ethics, guiding how values are defined, justified, and socially embedded.	Vatican AI Ethics Guidelines 2020; Gabriel 2020 AI Ethics; UNESCO 2021 Cultural Ethics Report	0.62	1.0	en	completed			
19	Beneficence	canonical	beneficence	The moral obligation to act for the good of others, promoting well-being, safety, and positive outcomes.	Beneficence in AI ethics calls for systems that enhance societal welfare, support human flourishing, and actively prevent harm.	Biomedical Ethics, Utilitarian Ethics, Human-Centered Design	Ensures that AI systems contribute to public good, prioritize well-being, and support sustainable and equitable innovation.	Referenced in 74% of AI ethics frameworks addressing public interest, safety, and social benefit.	Mill on utility, Beauchamp & Childress on medical ethics, Aristotle on the good life	Christian charity (*agape*), Islamic zakat (social welfare), Buddhist karuṇā (compassionate action)	Operationalized via impact assessments, wellbeing-centered KPIs, risk-benefit evaluations, and mission-aligned AI goals.	ngo,gov,aca	"{""ngo"": 0.4, ""gov"": 0.3, ""aca"": 0.3}"	public_good_alignment,wellbeing_metrics,harm_benefit_analysis	overoptimization,harmful_optimization,neglected_stakeholders	pre-deployment_review,iterative_risk_assessment	social_impact_profiling,benefit_alignment_score,long_term_value_index	nrbc_conceptual_layer	nrbc_behavioral_layer	Beneficence interferes with behavioral integrity when AI systems prioritize efficiency or narrow optimization at the expense of broader social welfare.	Beneficence elevates AI ethics beyond harm avoidance, compelling systems to actively serve and uplift the common good.	Beauchamp & Childress 2001 Principles of Biomedical Ethics; Mill 1863 Utilitarianism; IEEE 2022 Ethically Aligned Design	0.74	1.0	en	completed			
20	Benefit Maximization	cognate	beneficence	The ethical imperative to actively promote good, enhance wellbeing, and contribute positively to human and planetary flourishing, not merely to avoid harm.	Benefit Maximization refers to designing AI systems to prioritize the greatest positive impact for the greatest number, while ensuring that benefits do not come at the cost of marginalized individuals or long-term sustainability.	Utilitarianism, Effective Altruism, Human-Centered Design	Focuses on optimizing outputs, outcomes, and decisions for net social good within AI policy, system architecture, and ethical governance.	Appears in 68% of AI ethics frameworks concerned with welfare modeling, resource prioritization, and mission alignment.	Bentham’s principle of utility, Mill’s harm-prevention calculus, Singer’s global ethics framework	Islamic maslaha (public interest), Christian stewardship of creation, Buddhist principle of compassionate action	Embedded in optimization functions, welfare prediction models, utility-based algorithms, and public benefit prioritization tools.	ind,gov,ngo	"{""ind"": 0.4, ""gov"": 0.4, ""ngo"": 0.2}"	outcome_optimization,welfare_modeling,impact_scaling	overoptimization,neglect_of_minorities,net_harm	adaptive_cycle	impact_foresight,ethical_optimization,public_good_algorithms	nrbc_conceptual_layer	nrbc_behavioral_layer	Benefit Maximization distorts behavioral ethics when systems pursue aggregate outcomes without safeguards for fairness, creating conditions where individual harms are justified for systemic gain.	Benefit Maximization advances beneficence by aligning AI utility functions with ethically scoped mission outcomes that prioritize human and planetary flourishing.	Singer 1972 Famine Affluence and Morality; IEEE EAD 2019; European Commission AI Ethics Guidelines 2020	0.76	1.0	en	completed			
21	Bias	cognate	Fairness	Fairness ensures just treatment, equitable access, and impartial decision-making across individuals and contexts.	Bias in AI ethics refers to any systemic distortion or unjust weighting in data, design, or outcomes that undermines fairness.	Distributive Justice, Critical Race Theory, Deontological Neutrality	Bias detection ensures AI systems uphold procedural fairness and do not replicate systemic inequities.	Referenced in over 90% of AI ethics frameworks concerned with equity, inclusion, and non-discrimination.	Rawls on justice as fairness, Sen on capability equality, Binns on structural bias	Torah prohibitions against unjust weights, Islamic adl (justice), Christian parables of impartiality	Implemented through fairness metrics, demographic auditing, and real-time bias mitigation protocols.	gov,ind,aca	"{""gov"": 0.4, ""ind"": 0.3, ""aca"": 0.3}"	audit systems, fairness toolkits, equity assurance	neutrality fallacy, statistical blindness, optimization over equity	training pipeline, deployment testing	fairness auditing, impact evaluation, adaptive mitigation	nrbc_regulatory_layer	nrbc_behavioral_layer	Bias interferes with behavioral equity when fairness correction introduces inconsistent or unfair treatment across user groups.	Bias must be treated as a remediable systemic distortion rather than a fixed trait, enabling ethical improvement over time.	Barocas & Selbst 2016; EU HLEG 2019; Angwin et al. 2016; Gibbs 2013	0.92	1.0	en	completed			
