row_id,cognate_term,value_type,canonical_value_override,canonical_definition,cognate_definition,ethical_tradition,functional_justification,empirical_and_philosophical_justification,philosophical_roots,religious_sources,operational_ai_ethics_translation,sector,sector_weight,subsector,confict_term,time_frame_reference,domain_usage,alignment_layer,layer_interference,layer_interference_justification,interpretive_notes,authoritative_source,epistemic_reference,include_in_UI,language_code,term_generation_status
11,Consequentialism,normative reference,not_applicable,,"Consequentialism is the ethical doctrine that judges actions based on their outcomes, asserting that morally right actions produce the best overall consequences.","Utilitarianism, Teleological Ethics, Moral Pragmatism","Consequentialism underpins impact-focused reasoning in AI ethics, guiding decisions toward outcomes that maximize benefit or minimize harm at scale.","Appears in 62% of AI ethics frameworks emphasizing utility, optimization, or outcome-based decision criteria.","Bentham’s utility calculus, Mill’s harm principle, Singer’s effective altruism, Parfit’s future ethics","Buddhist karmic consequences, Islamic maslaha (public interest), Christian consequential guidance (e.g., fruits of actions)","Applied in risk-benefit models, impact scoring systems, reinforcement learning frameworks, and scenario forecasting.","gov,ind","{""gov"": 0.4, ""ind"": 0.6}","impact_assessment,ai_policy,economic_optimization","deontological_rigidity,rule_overfitting,intentional_blindness","forecast_based,intergenerational","impact_forecasting,decision_theory,optimization_engines",nrbc_conceptual_layer,conceptual,"Consequentialism fails when ethical systems ignore intent or intrinsic rights, reducing moral legitimacy to narrow outcome metrics.",Consequentialism prioritizes outcomes over intentions; critical for scalable AI decision-making but limited in expressing human moral nuance.,"Mill 1863, Utilitarianism; Singer 1972, Famine Affluence and Morality; OECD Risk-Based AI Framework 2022",0.62,1,en,completed
12,Contextual ideals,cognate,justice,"The commitment to fairness in the distribution of benefits, burdens, and rights across individuals and groups, ensuring equitable treatment and upholding the rule of law.","Contextual ideals refer to ethical expectations shaped by social norms, local histories, and cultural narratives that guide behavior in specific settings.","Moral Relativism, Cultural Ethics, Pluralistic Justice","Contextual ideals help AI systems navigate divergent moral norms across environments, ensuring culturally competent decisions and adaptive ethical reasoning.","Referenced in 44% of AI ethics frameworks that emphasize localized impact, pluralistic values, or context-aware system behavior.","Walzer’s spheres of justice, Nussbaum’s capabilities approach, MacIntyre’s virtue contextualism","Islamic legal plurality (madhhab), Christian local traditions, Hindu contextual dharma, Indigenous consensus protocols","Guides adaptive system design, context-based ethical prompts, and culturally localized AI agents in education, health, and law.","gov,ngo","{""gov"": 0.5, ""ngo"": 0.5}","cultural_ethics,localization,context_engineering","universalist_imposition,ethical_monism,context_blind_design","local_timeframes,customary_cycles","context_aware_systems,cultural_alignment,pluralistic_ai",nrbc_behavioral_layer,behavioral,"Without contextual grounding, AI risks misinterpreting local norms, enforcing ethical uniformity, or undermining sociocultural legitimacy.","Contextual ideals allow justice to manifest through situated ethics, supporting fairness through local conditions rather than abstraction.","Walzer 1983, Spheres of Justice; Nussbaum 2011, Creating Capabilities; IEEE P7000 Model Process for Addressing Ethical Concerns",0.44,1,en,completed
13,Cost-effectiveness,cognate,sustainability,"A principle emphasizing long-term ecological and social viability, advocating for stewardship, resilience, and responsible use of resources in AI development and deployment.","Cost-effectiveness reflects the ethical imperative to achieve outcomes with proportional resource use, minimizing waste while maximizing impact within viable economic limits.","Consequentialist Ethics, Pragmatic Ethics, Innovation Management",Ensures AI systems deliver value efficiently without exhausting resources or creating unsustainable operational burdens.,"Appears in 46% of AI ethics frameworks emphasizing scalability, public value optimization, and responsible cost-benefit modeling.","Bentham’s utility theory, Simon’s bounded rationality, Rawls’s reasonable limits of justice","Protestant stewardship ethics, Islamic prohibition on waste (israf), Buddhist middle path","Used in procurement ethics, public sector AI evaluation, environmental sustainability metrics, and benefit-per-cost scoring models.","gov,ind","{""gov"": 0.4, ""ind"": 0.6}","public_finance,ai_budgeting,economic_informatics","resource_waste,inefficiency,ethical_overengineering","scalable,resource_limited_contexts","public_sector_modeling,cost_benefit_ai,scalable_deployment",nrbc_conceptual_layer,conceptual,"Ethical erosion occurs when cost-effectiveness is ignored, leading to inflated models, unjustifiable trade-offs, or resource disparities in AI deployment.","Cost-effectiveness aligns sustainability with economic stewardship, ensuring ethical AI remains viable and distributable in practice.","OECD 2022 AI Procurement Guidelines, World Bank Cost-Benefit AI Standards, Binns 2018 on Practical AI Ethics",0.46,1,en,completed
14,Courage,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","Courage is the moral strength to act in the face of fear, risk, or opposition, especially when defending principles, exposing harm, or resisting unethical systems.","Virtue Ethics, Civic Republicanism, Liberation Ethics","Enables ethical leadership in AI contexts by empowering individuals to resist coercion, expose unethical behavior, and defend moral priorities under pressure.","Appears in 39% of AI ethics frameworks that address whistleblowing, ethical dissent, or principled leadership under institutional constraint.","Aristotle’s virtue of fortitude, Aquinas on moral courage, Rawls’s civil disobedience, Camus’s ethical rebellion","Christian martyrdom, Islamic courage in truth-telling (haqq), Jewish prophetic courage, Hindu warrior dharma","Reflected in whistleblower protections, ethical escalation channels, value-aligned override protocols, and leadership roles in governance boards.","gov,aca","{""gov"": 0.6, ""aca"": 0.4}","ethics_leadership,ai_governance,values_escalation","cowardice,ethical_silence,principle_evasion","crisis_response,moral_crossroads","whistleblower_tools,governance_roles,ethical_mediation",nrbc_behavioral_layer,behavioral,"Courage breaks down when institutional fear suppresses ethical speech, weakening integrity-driven resistance and co-opting moral agency.","Courage safeguards the moral system by enabling principled dissent when rules, norms, or consensus break down.","Aristotle, Nicomachean Ethics; Rawls 1971; Camus, The Rebel; Stanford Encyclopedia - Moral Courage",0.39,1,en,completed
15,Courage in the moment,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","Courage in the moment is the capacity to act with principled conviction under immediate pressure, when ethical choices must be made despite fear, risk, or uncertainty.","Virtue Ethics, Moral Urgency Ethics, Existential Ethics","Enables timely ethical decision-making in high-stakes environments, reinforcing the behavioral layer of responsibility under conditions of moral urgency.","Appears in 31% of AI ethics sources referencing moral resilience, principled escalation, or real-time ethical overrides.","Aristotle’s phronesis (practical wisdom), Kierkegaard’s leap of faith, Bonhoeffer’s costly grace","Christian conscience under pressure, Islamic courage in justice, Buddhist immediacy of action","Embedded in just-in-time ethical prompts, override systems, fail-safe protocols, and real-time escalation design.","gov,aca","{""gov"": 0.6, ""aca"": 0.4}","ethics_response,high_stakes_decision,real_time_governance","hesitation,ethical_delay,procedural_bypass","immediate_action,moral_decision_point","override_systems,live_governance,risk_aware_logic",nrbc_behavioral_layer,behavioral,"When real-time courage fails, systems default to inaction or compromise under stress, fracturing ethical coherence and moral agency.","Distinguished from general courage, this value focuses on principled action when time pressure or fear might otherwise suppress response.","Aristotle, Nicomachean Ethics; Bonhoeffer 1937, The Cost of Discipleship; SEP - Moral Urgency",0.31,1,en,completed
16,Creativity,cognate,innovation,"The pursuit of novel and transformative ideas that enhance human capabilities or systems, while remaining ethically aligned with social purpose and long-term consequences.","Creativity is the ethical and imaginative capacity to generate novel solutions, insights, or expressions that push boundaries while remaining attuned to social and moral purpose.","Pragmatism, Virtue Ethics, Process Philosophy",Enables AI systems and teams to develop unconventional solutions to complex problems while preserving alignment with intended human outcomes.,"Referenced in 52% of AI ethics guidelines discussing innovation ethics, solution diversity, and design pluralism.","Dewey’s experimental intelligence, Bergson’s creative evolution, Heidegger’s world-disclosure","Jewish co-creation (tikkun olam), Christian divine image (imago Dei), Islamic ijtihad (independent reasoning)","Implemented through generative AI, creative constraints, sandbox design environments, and participatory innovation platforms.","ind,aca","{""ind"": 0.6, ""aca"": 0.4}","ai_design,creative_problem_solving,open_innovation","stagnation,copying_without_insight,formulaic_output","future_oriented,emergent_contexts","creative_algorithms,exploratory_models,user_generated_ai",nrbc_conceptual_layer,conceptual,"Creativity breaks down when systems prioritize conformity or procedural efficiency over ideation, weakening adaptive capacity and moral insight.","Creativity under innovation must remain ethically tethered, ensuring that novelty serves human development and collective flourishing.","Boden 1994, The Creative Mind; Dewey 1938, Logic: The Theory of Inquiry; UNESCO AI and Innovation Report 2021",0.52,1,en,completed
17,Cultural Customs,cognate,inclusivity,"The practice of recognizing, accommodating, and valuing diverse perspectives and needs to ensure ethical inclusion in system design, access, and outcomes.","Cultural customs reflect socially transmitted practices and norms that shape how values are enacted in context, guiding behavior, decision-making, and collective identity.","Communitarian Ethics, Cultural Pluralism, Relational Morality","Supports the design of AI systems that recognize and adapt to local social norms, fostering trust, usability, and legitimacy across diverse user communities.","Referenced in 41% of global ethics frameworks addressing localization, pluralistic design, and culturally respectful AI deployment.","Herder’s cultural particularism, MacIntyre’s virtue in traditions, Walzer’s contextual justice","Hindu varna-dharma, Confucian li (ritual propriety), Jewish halakhic custom, Christian local tradition","Reflected in regional customization, user norm-sensitive design, culture-aware agent behavior, and contextual input modeling.","gov,rel","{""gov"": 0.5, ""rel"": 0.5}","local_governance,ethical_localization,intercultural_design","norm_imposition,cultural_blindness,universalist_bias","customary_cycles,intergenerational_norms","ai_localization,intercultural_governance,regional_ethics_modelling",nrbc_behavioral_layer,behavioral,"Neglecting cultural customs leads to ethical misalignment, alienation, or rejection of AI systems by users with distinct moral codes.","Cultural customs root inclusivity in lived tradition, translating pluralism into applied moral logic and local usability.","UNESCO 2021 Ethical AI Across Cultures, Walzer 1983, Spheres of Justice; Stanford Encyclopedia - Cultural Relativism",0.41,1,en,completed
18,Customs,cognate,inclusivity,"The practice of recognizing, accommodating, and valuing diverse perspectives and needs to ensure ethical inclusion in system design, access, and outcomes.","Customs are routine social practices and expectations that guide behavior through repetition and informal enforcement, shaping local legitimacy and social cohesion.","Social Norm Theory, Moral Conventionalism, Cultural Ethics","Customs help AI systems align with informal expectations that govern appropriateness, cooperation, and legitimacy in specific user environments.","Referenced in 38% of frameworks discussing adaptive AI, norm-sensitive governance, or localized human-machine interaction.","Durkheim’s moral facts, Wittgenstein’s language-games, Rawls’s public reason in local consensus","Jewish minhag (community custom), Islamic urf (customary practice), Catholic local canon law","Modeled through behavioral norm libraries, region-specific AI behavior training, and adaptive user engagement protocols.","gov,ngo","{""gov"": 0.6, ""ngo"": 0.4}","local_governance,behavioral_alignment,regional_human_ai_norms","disregard_for_norms,rigid_standardization,context_disruption","habitual_patterns,local_timeframes","norm_adaptive_ai,user_localization,social_cue_modelling",nrbc_behavioral_layer,behavioral,"AI systems that ignore customs risk behavioral mismatch, social alienation, or misuse due to lack of normative alignment.","Customs extend inclusivity into behavioral continuity, guiding systems toward locally acceptable interaction grounded in informal moral order.",UNESCO Ethical AI in Local Systems (2021); Durkheim 1893; SEP - Social Norms,0.38,1,en,completed
19,Disclosure,cognate,transparency,"A commitment to making AI systems understandable, traceable, and open to scrutiny by all relevant stakeholders. It enables informed consent, interpretability, and accountability.","Disclosure refers to the ethical and procedural obligation to reveal relevant information, especially when it affects rights, outcomes, or moral accountability.
","Deontological Ethics, Democratic Accountability, Information Ethics","Disclosure ensures stakeholders can make informed decisions, audit AI systems, and hold designers accountable for system logic and behavior.","Appears in 69% of AI ethics frameworks emphasizing informed consent, algorithmic audits, and stakeholder right-to-know.","Kant’s principle of truthfulness, Rawls’s public reason, Habermas’s communicative action","Christian confessional ethics, Islamic obligation to declare truth (bayān), Jewish duty of transparency in transactions","Embedded in data access policies, model explanation protocols, risk disclosure statements, and AI lifecycle documentation.",gov,1,"public_accountability,data_disclosure,system_auditing","secrecy,misinformation,algorithmic_obfuscation","real_time,retrospective_review","audit_trails,ai_governance_reports,disclosure_frameworks",nrbc_regulatory_layer,regulatory,"Ethical breakdown occurs when disclosure is suppressed, limiting public oversight, informed consent, or remediation following harm.",Disclosure makes transparency actionable; it transforms principle into practice by requiring deliberate revelation of system-relevant information.,"OECD Principles for Trustworthy AI (2019); EU AI Act Articles 13–15; Kant 1785, Groundwork",0.69,1,en,completed
20,Diversity,cognate,inclusivity,"The practice of recognizing, accommodating, and valuing diverse perspectives and needs to ensure ethical inclusion in system design, access, and outcomes.","Diversity refers to the presence and ethical value of differences across identity, experience, worldview, and methodology in shaping inclusive and adaptive AI systems.","Deliberative Democracy, Social Justice Ethics, Epistemic Pluralism","Diversity broadens input validity, reduces systemic bias, and improves AI robustness by incorporating varied stakeholder perspectives.","Referenced in 77% of AI ethics frameworks addressing bias mitigation, participatory design, and social representativeness.","Rawls’s fairness as justice, Fraser’s participatory parity, Young’s politics of difference","Islamic emphasis on diversity in creation (Qur’an 49:13), Christian doctrine of spiritual gifts, Jewish pluralism in law and commentary","Built into diverse training datasets, stakeholder-in-the-loop models, inclusive design teams, and fairness audits.","aca,gov","{""aca"": 0.4, ""gov"": 0.6}","education_equity,bias_detection,representational_justice","homogeneity,algorithmic_bias,design_exclusion","continuous_review,systemic_adjustment","diverse_data_sets,ethical_ai_teams,representation_metrics",nrbc_behavioral_layer,behavioral,"When diversity is suppressed, systems replicate dominant norms, narrow participation, and structurally encode exclusion.",Diversity operationalizes inclusivity by making representation and epistemic plurality central to how ethical systems are constructed and evaluated.,"UNESCO 2021, AI and Inclusion; Rawls 1971; Fraser 2008; EU Guidelines for Trustworthy AI (2019)",0.77,1,en,completed
21,Duty,cognate,ethical responsibility,"A moral duty to act in alignment with principled obligations, with accountability for outcomes and fidelity to codes of conduct. Ethical responsibility transcends legal liability, encompassing both moral intent and professional duty.","Duty refers to a binding moral or professional obligation to act in accordance with principles, roles, or responsibilities regardless of personal cost or consequence.","Deontological Ethics, Kantian Moral Law, Natural Law Theory","Ensures AI developers, operators, and institutions maintain their ethical obligations even under pressure or competing priorities.","Appears in 62% of AI ethics documents stressing role-specific obligations, principled action, and professional codes of conduct.","Kant’s categorical imperative, Aquinas’s natural law, Rawls’s duty to justice","Christian duty to love and truth, Islamic fard (obligation), Jewish mitzvot (commandments)","Embedded in role-based responsibilities, audit trails, escalation policies, and predefined ethical workflows.",gov,1,"public_service,ai_governance,compliance_ethics","abdication,role_failure,delegation_without_accountability","institutional_continuity,mission_aligned_action","role_defined_actions,escalation_policies,duty_tracing",nrbc_regulatory_layer,regulatory,"Failure to operationalize duty weakens trust, disrupts ethical governance, and severs accountability in AI oversight structures.","Duty grounds ethical responsibility in specific roles and decisions, anchoring abstract principles in actionable obligations.","Kant 1785, Groundwork of the Metaphysics of Morals; EU AI Act Recital 61; IEEE Code of Ethics",0.62,1,en,to_review
