term,canonical_value,semantic_role,linked_disvalue,explanation
principles: risk mitigation,,,,
principles: safe and controllable,,,,
principles: safe and ethical ai,,,,
principles: safety,,,,
principles: safety and reliability,,,,
principles: safety and risk reduction,,,,
principles: seamless (integrated services),,,,
principles: security,,,,
principles: state duty to protect human rights,,,,
principles: strategic alignment,,,,
principles: transformation,,,,
principles: transparency,,,,
principles: transparency and disclosure,,,,
principles: trust,,,,
principles: well-being,,,,
principles: worker empowerment,,,,
privacy and consent,,,,
privacy and data governance,,,,
privacy and data protection,,,,
privacy and data security,,,,
privacy and security,,,,
privacy and security by design,,,,
privacy and security by design.,,,,
privacy by design,,,,
privacy protection,,,,
privacy protection and security,,,,
privacy safeguards,,,,
privacy.,,,,
privacy.​,,,,
pro-innovation,,,,
proactive ethics,,,,
proactive governance,,,,
proactive mitigation,,,,
procedural fairness,,,,
product development,,,,
productivity,,,,
professional responsibility,,,,
progressive development,,,,
prohibition of discrimination,,,,
prohibition of harmful projects,,,,
prohibition on secret profiling,,,,
promote equal access to technology,,,,
promote equity and inclusion,,,,
promoting data privacy and security,,,,
promoting ethical ai use,,,,
promoting global unity,,,,
promoting human-centric ai,,,,
promoting international cooperation on ai standards to ensure fairness,,,,
promotion of big data education,,,,
promotion of fairness and justice,,,,
promotion of human autonomy,,,,
promotion of human rights,,,,
promotion of human values,,,,
promotion of innovation,,,,
proportionality,,,,
proportionality and do not harm,,,,
propriety,,,,
protect children and vulnerable individuals,,,,
protect the environment,,,,
protecting human rights,,,,
protection against bias and discrimination,,,,
protection of citizens' legitimate rights,,,,
protection of citizens' legitimate rights.​,,,,
protection of minors,,,,
protection of privacy,,,,
protection of privacy and intimacy,,,,
protection of privacy and security,,,,
protection of rights,,,,
protection of vulnerable individuals,,,,
prudence,,,,
public benefit,,,,
public disclosure obligation,,,,
public engagement,,,,
public interest,,,,
public interest (maṣlaḥa),,,,
public interest expertise,,,,
public perception analysis.,,,,
public safety obligation,,,,
public service enhancement,,,,
public trust,,,,
public-private collaboration,,,,
public-private partnership,,,,
public-private partnerships,,,,
purpose limitation,,,,
purpose specification,,,,
purushartha (free will),,,,
quality,,,,
quality and security,,,,
quality education,,,,
race avoidance,,,,
real-time monitoring,,,,
realistic expectations,,,,
reasonable thrift,,,,
reciprocity,,,,
recommendations for policymakers,,,,
recursive self-improvement,,,,
redress. ​,,,,
refusal of illegal content,,,,
refusal to create harmful content,,,,
refuse to create dangerous content,,,,
regeneration,,,,
regional integration,,,,
regulation,,,,
regulation and legal frameworks,,,,
regulatory and ethical oversight,,,,
regulatory and governance frameworks,,,,
regulatory compliance,,,,
regulatory conditions,,,,
regulatory framework,,,,
regulatory mechanisms,,,,
rejection of military funding,,,,
relational ai,,,,
relational integrity,,,,
relationality,,,,
reliability,,,,
reliability and safety,,,,
reliable,,,,
renewable energy,,,,
repeatability/reproducibility,,,,
reproducibility,,,,
research and development,,,,
research and innovation,,,,
research culture,,,,
research excellence,,,,
research funding,,,,
research investment,,,,
resilience,,,,
resilience.,,,,
resource and infrastructure resilience,,,,
respect,,,,
respect autonomy,,,,
respect for autonomy,,,,
respect for human dignity,,,,
respect for human rights,,,,
respect for individual rights,,,,
respect for individual rights.,,,,
respect for privacy,,,,
respect human rights,,,,
respect of fundamental rights,,,,
respect privacy,,,,
responsibility (mas’ooliyyah)​,,,,
responsibility (mas’ūliyyah),,,,
responsibility and accountability,,,,
responsibility and liability,,,,
responsibility.,,,,
responsibility.​,,,,
responsible ai,,,,
responsible ai deployment,,,,
responsible ai development,,,,
responsible ai governance,,,,
responsible business conduct,,,,
responsible development,,,,
responsible innovation,,,,
rethink privacy,,,,
right to human determination,,,,
right to information,,,,
right to privacy and data protection,,,,
right to understanding,,,,
righteousness,,,,
rights,,,,
rights and liberties,,,,
rights-respecting,,,,
rinciples: responsible algorithmic decisions,,,,
risk and humanitarian impact assessment,,,,
risk assessment,,,,
risk mitigation,,,,
risk mitigation.,,,,
risk-assessment,,,,
risk-based classification,,,,
risk-based governance,,,,
risks,,,,
robustness,,,,
robustness and safety,,,,
robustness and security,,,,
robustness.,,,,
robustness.​,,,,
rule of law,,,,
safe & trusted ai,,,,
safe (risk anticipation and protection),,,,
safe innovation,,,,
safeguarding information integrity,,,,
safeguarding national security and public interests,,,,
safety and control,,,,
safety and controllability,,,,
safety and security,,,,
safety.,,,,
safety. notably,,,,
science-policy link,,,,
scientific advancement,,,,
scientific discovery,,,,
scientific excellence,,,,
scientific integrity,,,,
sector-specific guidelines,,,,
secure,,,,
secure and private,,,,
securing informed consent,,,,
security,,,,
security and safety,,,,
security controls,,,,
security.,,,,
seva (selfless service),,,,
shared benefit,,,,
shared datasets and environments,,,,
shared egalitarian future,,,,
shared global benefits,,,,
shared prosperity,,,,
shared public resources,,,,
shared responsibility,,,,
showing its workings,,,,
skill enhancement,,,,
skilled workforce,,,,
skilling for the ai age,,,,
skills and education,,,,
smart cities,,,,
smart cities and infrastructure,,,,
smart mobility and transportation,,,,
social,,,,
social benefit,,,,
social cohesion,,,,
social connectivity,,,,
social equity,,,,
social harmony,,,,
social impact,,,,
social inclusion,,,,
social justice,,,,
social justice.,,,,
social responsibility,,,,
social stability,,,,
social-systems analysis,,,,
societal and environmental well-being,,,,
societal and environmental well-being.,,,,
societal benefit,,,,
societal benefit.,,,,
societal dialogue,,,,
societal engagement.,,,,
societal harmony,,,,
societal impact,,,,
societal impact.,,,,
societal impacts,,,,
societal progress,,,,
societal trust,,,,
societal values,,,,
societal well-being,,,,
societal well-being.,,,,
sociotechnical systems,,,,
solidarity,justice,cultural proxy,,Community-based ethical support
sovereignty,,,,
stakeholder engagement,,,,
stakeholder engagement.,,,,
stakeholder roles,,,,
stakeholders,,,,
standards and benchmarks,,,,
startup acceleration,,,,
startup financing,,,,
storage limitation,,,,
strengthening of accountability,,,,
strengthening regulatory frameworks,,,,
subdivision and implementation,,,,
support for competition.,,,,
support for data-driven businesses,,,,
support for innovation,,,,
support for startups,,,,
support human flourishing,,,,
supporting,,,,
sustainability.,,,,
sustainability​,,,,
sustainable development,,,,
sustainable development and well-being,,,,
tackling multidisciplinary ai challenges,,,,
tackling technological challenges and leveraging opportunities,,,,
talent and research,,,,
talent development,,,,
team expansion,,,,
technical assurance,,,,
technical leadership,,,,
technical robustness and safety,,,,
technical support,,,,
technological advancement,,,,
technological challenges and opportunities,,,,
technological independence,,,,
technological innovation,,,,
technological leadership,,,,
technological self-reliance,,,,
technological sovereignty,,,,
technology leadership,,,,
technology risk,,,,
termination obligation.​,,,,
testing,,,,
the 2024 update removed explicit prohibitions against developing ai for weapons or surveillance technologies. this shift has been linked to google's intent to engage more flexibly in defense and security sectors,,,,
the report proposes two novel human rights: the right not to be measured,,,,
theological reflection on ai ethics,,,,
thoughtfulness,,,,
traceability,,,,
traceable,,,,
training,,,,
training capabilities,,,,
transfer and application,,,,
transparency and explainability,,,,
transparency and intelligibility,,,,
transparency and openness,,,,
transparency and oversight,,,,
transparency and public awareness,,,,
transparency and responsible disclosure,,,,
transparency in limitations,,,,
transparency.​,,,,
transparency​,,,,
transparent,,,,
transparent and explainable,,,,
transparent and explainable ai,,,,
trust.,,,,
trustworthiness,,,,
trustworthiness.,,,,
trustworthy,,,,
trustworthy ai,,,,
truth,,,,
truthfulness,,,,
un engagement,,,,
un global compact initiative principles,,,,
un principles of responsible banking,,,,
unacceptable risk,,,,
under user control,,,,
uphold high standards of scientific excellence,,,,
usability,,,,
use wisely and properly,,,,
user agency,,,,
user autonomy,,,,
user data rights,,,,
user data rights.,,,,
user empowerment,,,,
user safety,,,,
using the nbrc classification: fairness - normative (foundational): reflects universal moral aspiration toward quality and justice. accountability - regulatory (operational): enables traceability and enforceability within governance structures. transparency - normative (operational): bridges principle with implementation,,,,
validation and testing. ​,,,,
value alignment,,,,
value proposition,,,,
vasudhaiva kutumbakam (world as one family),,,,
veracity and robustness,,,,
vital for pbulic trust. explainability - behavioral (contextual): enables individual understand and ethical interaction with ai systems.,,,,
vulnerability identification and reporting,,,,
well-being,,,,
wisdom,,,,
workforce adaptation,,,,
workforce development,,,,
workforce risk,,,,
workforce transformation.,,,,
