Unique_ID,Researcher,Name of Document,Issuer,Date of Issue,URL,Sector,Sector_Override,Country,Matched_PDF,Confirmed_Match,Citation_Label,Citation_Source,Normalized Principles,Normalized Values,Disvalue_Flag,Notes,Likely_File_Match
DOC_019,Hinrichs,AI Opportunities Action Plan,UK Government,2025.0,https://www.gov.uk/government/publications/ai-opportunities-action-plan/ai-opportunities-action-plan?form=MG0AV3,Government,gov,UK,,No,"UK Government, 2025",AI Opportunity Action Plan,"Principles: economic growth, public service enhancement, infrastructure development, talent and research; "," innovation, societal well-being, inclusivity, sustainability",,,No
DOC_020,Hinrichs,AI Policy and Governance,Center for Democracy and Technology (CDT),2025.0,https://cdt.org/area-of-focus/ai-policy-governance/?form=MG0AV3,NGO,ngo,USA,,No,"Center for Democracy and Technology (CDT), 2025","AI Policy and Governance

","Principles: AI governance, transparency, human rights, democratic values, public interest expertise, innovation, liability; "," accountability, inclusivity, ethical responsibility, trustworthiness",,,No
DOC_021,Jobin,Asilomar AI Principles,Future of Life Institute,2017.0,https://futureoflife.org/open-letter/ai-principles/?form=MG0AV3&form=MG0AV3,NGO,ngo,International Organization,,No,"Future of Life Institute, 2017",Asilomar AI Principles,"Principles: research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment "," human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good",,,No
DOC_022,Jobin,AI Ethics Principles,Smart Dubai,2019.0,https://www.digitaldubai.ae/ai-ethics,Government,gov,UAE,,No,"Smart Dubai, 2019",https://www.digitaldubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf?form=MG0AV3,Using the NBRC Classification: Fairness - Normative (Foundational): reflects universal moral aspiration toward quality and justice. Accountability - Regulatory (Operational): enables traceability and enforceability within governance structures. Transparency - Normative (Operational): bridges principle with implementation; vital for pbulic trust. Explainability - Behavioral (Contextual): enables individual understand and ethical interaction with AI systems.,,,,No
DOC_023,Jobin,AI Principles of Telefónica,Telefónica,2018.0,,Business,ind,Spain,,No,"Telefónica, 2018",https://www.telefonica.com/wp-content/uploads/sites/7/2021/11/principios-ai-eng-2018.pdf,"fair AI, transparent and explainable AI, human-centric AI, privacy and security by design",,,,No
DOC_024,Harvard,AI Strategy for Mexico,"British Embassy in Mexico, in collaboration with Oxford Insights and C Minds​",2018.0,https://stip.oecd.org/stip/interactive-dashboards/policy-initiatives/2021%2Fdata%2FpolicyInitiatives%2F26703?form=MG0AV3,Government,gov,Mexico,,No,"British Embassy in Mexico, in collaboration with Oxford Insights and C Minds​, 2018",AI Strategy for Mexico,"Principles: governance, government and public services, research and development, capacity, skills and education, data infrastructure, ethics and regulation "," inclusivity, innovation, transparency, accountability, ethical responsibility",,,No
DOC_025,Hinrichs,Aligning Artificial Intelligence and Climate Governance,United Nations University (UNU),2021.0,https://unu.edu/ehs/series/aligning-ai-and-climate-governance?form=MG0AV3,NGO,ngo,International,,No,"United Nations University (UNU), 2021",Aligning AI and Climate Governance,"Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; "," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,No
DOC_026,Hinrichs,Annual Report of the CIFAR Pan-Canadian AI Strategy,Canadian Institute for Advanced Research (CIFAR),2019.0,https://www.aiia-ai.org/col.jsp?id=200,Academia,aca,Canada,,No,"Canadian Institute for Advanced Research (CIFAR), 2019",Canada National AI Strategy,"Principles: Transparency, innovation, collaboration, research excellence, ethical AI, workforce development, societal impact, economic growth, sustainability, public-private partnership; "," Scientific advancement, knowledge sharing, inclusivity, public trust, responsible AI deployment",,,No
DOC_027,Harvard,Argentina National AI Strategy,Task Force on the Future of Work and Education for the Digital Era (T20 Argentina),2018.0,https://t20argentina.org/wp-content/uploads/2018/09/Bridges-to-the-Future-of-Education-Policy-Recommendations-for-the-Digital-Age.pdf?form=MG0AV3,Government,gov,Argentina,https://servicios.infoleg.gob.ar/infolegInternet/anexos/315000-319999/316036/dec996.pdf,No,"Task Force on the Future of Work and Education for the Digital Era (T20 Argentina), 2018",Argentina AI Strategy,"Principles: equity, inclusivity, quality education, lifelong learning, innovation, collaboration; "," equity, lifelong learning, innovation, inclusivity, collaboration",,,No
DOC_028,Jobin,Artificial Intelligence (AI) in Health,Royal College of Physicians,2018.0,,Academia,aca,UK,,No,"Royal College of Physicians, 2018",https://www.rcp.ac.uk/policy-and-campaigns/policy-documents/artificial-intelligence-ai-in-health,"transparency, accountability, fairness, justice, human-centered AI, safety, security, sustainability, privacy",,,,No
DOC_029,Floridi,Artificial Intelligence Act,European Union,2021.0,https://artificialintelligenceact.eu/the-act/?form=MG0AV3,International Organization,ind,International Organization,,No,"European Union, 2021",Artificial Intelligence Act EU,"Principles: fairness, transparency, accountability; "," ethical AI use, inclusivity, trustworthiness",,,No
DOC_030,Jobin,Artificial Intelligence Act,European Union,2021.0,https://www.aiia-ai.org/col.jsp?id=200,International Organization,ind,International Organization,,No,"European Union, 2021",https://artificialintelligenceact.eu/the-act/?form=MG0AV3,"Principles: fairness, transparency, accountability; "," ethical AI use, inclusivity, trustworthiness",,,No
DOC_031,Hinrichs,Artificial Intelligence Act (AI Act),European Union,2024.0,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Government,gov,International Organization,,No,"European Union, 2024",Artificial Intelligence Act (AI Act),"Principles: fairness, transparency, accountability, risk-based classification, unacceptable risk, high risk, limited risk, minimal risk, governance and enforcement, conformity assessments; "," global influence, ethical AI governance, trustworthiness, safety",,,No
DOC_032,Hinrichs,Artificial Intelligence and Climate Change,Heinrich Böll Stiftung,2020.0,https://eu.boell.org/sites/default/files/2021-04/Artificial%20Intelligence%20and%20Climate%20Change_FINAL_14042021.pdf?form=MG0AV3,Government,gov,Germany,,No,"Heinrich Böll Stiftung, 2020",Artificial Intelligence and Climate Change,"Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; "," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,No
DOC_033,Jobin,Artificial Intelligence and Machine Learning: Policy Paper,Internet Society,2017.0,,NGO,ngo,USA,,No,"Internet Society, 2017",https://www.internetsociety.org/resources/doc/2017/artificial-intelligence-and-machine-learning-policy-paper/?form=MG0AV3,"ethical considerations, interpretability, empowerment, responsibility, accountability, inclusive participation",,,,No
DOC_034,Hinrichs,Artificial Intelligence Policy Priorities,U.S. Senate (Senator Martin Heinrich),2025.0,https://www.heinrich.senate.gov/priorities/issues/artificial-intelligence,Government,gov,USA,,No,"U.S. Senate (Senator Martin Heinrich), 2025",Artificial Intelligence Policy Priorities,"Principles: artificial intelligence initiative act, national strategy for AI leadership, AI policy roadmap, AI regulation, AI ethics, AI research funding, workforce development, AI safety and security; "," innovation, accountability, ethical responsibility, inclusivity, societal trust",,,No
DOC_035,Hinrichs,Artificial Intelligence Research Programme,The Alan Turing Institute,2025.0,https://www.turing.ac.uk/research/research-programmes/artificial-intelligence?form=MG0AV3,Academia,aca,UK,,No,"The Alan Turing Institute, 2025",Artificial Intelligence Research Program,"Principles: safe and ethical AI, human-AI interfaces and robotics, multi-agent systems; "," innovation, ethical responsibility, collaboration, inclusivity",,,No
DOC_036,Hinrichs,Artificial Intelligence Strategy,"Economic Affairs Ministry, the Research Ministry, and the Labour Ministry",2021.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,Germany,,No,"Economic Affairs Ministry, the Research Ministry, and the Labour Ministry, 2021",Germany Artificial Intelligence Strategy,"Principles: Innovation, transparency, security, trust, data protection, ethical AI, human-centric development, sustainability, economic growth, fairness, digital sovereignty, accountability; "," Public trust, responsible AI deployment, social inclusion, competitiveness, knowledge sharing",,,No
DOC_037,Hinrichs,Artificial Intelligence Technology Strategy,"Strategic Council for AI Technology, Government of Japan",2017.0,https://www.aiia-ai.org/col.jsp?id=200,Government,gov,Japan,,No,"Strategic Council for AI Technology, Government of Japan, 2017",Japan  AI Strategy,"Principles: AI-driven industrialization, research and development, international collaboration, cybersecurity, responsible AI, public-private partnerships, AI education, technological advancement, sustainability; "," Economic progress, technological leadership, knowledge sharing, global competitiveness, ethical responsibility",,,No
DOC_038,Jobin,"Artificial Intelligence. Australia’s Ethics Framework: A Discussion Paper, ",Department of Industry Innovation and Science,2019.0,,Government,gov,Australia,,No,"Department of Industry Innovation and Science, 2019",https://www.csiro.au/-/media/D61/Reports/Artificial-Intelligence-ethics-framework.pdf?utm_source=chatgpt.com,"Principles: accountability, transparency, fairness, privacy, security, inclusivity, sustainability, human-centric design, explainability, ethical deployment; "," trustworthiness, societal well-being, respect for human rights, fairness, privacy, data protection, inclusivity, environmental sustainability",,,No
DOC_039,Jobin,Artificial Intelligence. The Public Policy Opportunity,Intel Corporation,2017.0,,Business,ind,USA,,No,"Intel Corporation, 2017",https://community.intel.com/legacyfs/online/files/Intel-Artificial-Intelligence-Public-Policy-White-Paper-2017.pdf,"Principles: foster innovation and open development, create new human employment opportunities and protect people’s welfare, liberate data responsibly, rethink privacy "," innovation, responsibility, privacy, ethical data use",,,No
DOC_040,Jobin,Artificial Intelligence: Open Questions About Gender Inclusion,W20,2018.0,,Academia,aca,Portugal,,No,"W20, 2018",https://webfoundation.org/docs/2018/06/AI-Gender.pdf?form=MG0AV3,"Inclusivity, transparency, fairness, accountability, equity, diversity, safety and security, ethical governance, accessibility, impact assessment.",,,,No
DOC_041,Hinrichs,"Artificial Intelligence: Solving Problems, Growing the Economy, and Improving Our Quality of Life",Commonwealth Scientific and Industrial Research Organisation (CSIRO) Data61,2019.0,https://www.csiro.au/en/research/technology-space/ai/Artificial-Intelligence-Roadmap,Academia,aca,Australia,,No,"Commonwealth Scientific and Industrial Research Organisation (CSIRO) Data61, 2019",CSIRO Artificial Intelligence Roadmap for Australia,"Principles: Economic growth, innovation, data governance, cybersecurity, trust, workforce development, ethical AI, sustainability, interoperability, infrastructure; "," Productivity, national competitiveness, digital inclusion, environmental responsibility, human well-being",,,No
DOC_042,Hinrichs,Artificial Intelligence: The Road Ahead in Low and Middle-Income Countries,Future Advocacy,2017.0,https://futureadvocacy.com/publications/artificial-intelligence-the-road-ahead-in-low-and-middle-income-countries/,NGO,ngo,UK,,No,"Future Advocacy, 2017",Artificial Intelligence: The Road Ahead in Low and Middle-Income Countries,"Principles: addressing development challenges, capacity building, ethical considerations, collaborative efforts "," innovation, inclusivity, ethical responsibility, collaboration",,,No
DOC_043,Harvard,Asilomar AI Principles,Future of Life Institute,2017.0,https://futureoflife.org/ai-principles/,Academia,aca,USA,,No,"Future of Life Institute, 2017",Asilomar AI Principles,"Principles: Research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment, human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good. "," Beneficial intelligence, safety, transparency, responsibility, human dignity, shared prosperity, global well-being.",,,No
DOC_044,Floridi,Asilomar AI Principles,Future of Life Institute,2017.0,https://futureoflife.org/ai-principles/,NGO,ngo,USA,,No,"Future of Life Institute, 2017",Asilomar AI Principles,"Principles: research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment, human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good",,,,No
DOC_045,Hinrichs,Australia's AI Ethics Principles,"Australian Government, Department of Industry, Science and Resources",2019.0,https://www.industry.gov.au/publications/australias-artificial-intelligence-ethics-principles/australias-ai-ethics-principles,Government,gov,Australia,,No,"Australian Government, Department of Industry, Science and Resources, 2019",Austalia's AI Ethics Principles,"Principles: human, social, and environmental wellbeing; human-centered values; fairness; privacy protection and security; reliability and safety; transparency and explainability; contestability; accountability; "," inclusivity, ethical responsibility, societal trust, sustainability",,,No
DOC_046,Hinrichs,Baidu's AI Ethics Principles,Baidu Inc.,2025.0,https://esg.baidu.com/detail/443.html?utm_source=chatgpt.com,Industry,ind,China,,No,"Baidu Inc., 2025",Baidu's AI Ethics Principles,"Principles: safe and controllable, promote equal access to technology, empower human learning and growth; ", bring more freedom and possibilities to humankind,,,No
DOC_047,Hinrichs,Bases para la Agenda Digital Argentina,Government of Argentina,2018.0,https://www.aiia-ai.org/col.jsp?id=201,Government,gov,Argentina,,No,"Government of Argentina, 2018",Argentina National AI Strategy,"Principles: Digital inclusion, transparency, privacy, cybersecurity, data protection, accessibility, economic development, infrastructure, digital literacy, public trust; "," Economic growth, innovation, social equity, accessibility, digital sovereignty",,,No
DOC_048,Harvard,Beijing AI Principles,Beijing Academy of Artificial Intelligence (BAAI),2019.0,https://link.springer.com/content/pdf/10.1007/s11623-019-1183-6.pdf?form=MG0AV3,Industry,ind,China,,No,"Beijing Academy of Artificial Intelligence (BAAI), 2019",Beijing AI Principles,"Principles: do good, for humanity, be responsible, control risks, be ethical, be diverse and inclusive, open and share, use wisely and properly, informed consent, education and training, optimizing employment, harmony and cooperation, adaptation and moderation, subdivision and implementation, long-term planning "," societal well-being, ethical responsibility, inclusivity, collaboration, sustainability",,,No
DOC_049,Hinrichs,Beijing AI Principles,Beijing Academy of Artificial Intelligence (BAAI),2019.0,https://www.baai.ac.cn/news/beijing-ai-principles.html,Academia,aca,China,,No,"Beijing Academy of Artificial Intelligence (BAAI), 2019",Beijing AI Principles,"Principles: do good, for humanity, be responsible, control risks, be ethical, be diverse and inclusive, open and share, use wisely and properly; "," human privacy, dignity, freedom, autonomy, rights, fairness, transparency, explainability, predictability, traceability, accountability",,,No
DOC_050,Jobin,"Big Data, Artificial Intelligence, Machine Learning and Data Protection",Information Commissioner's Office (ICO),2017.0,,Regulatory Body,gov,UK,,No,"Information Commissioner's Office (ICO), 2017",https://ico.org.uk/media/for-organisations/documents/2013559/big-data-ai-ml-and-data-protection.pdf?form=MG0AV3,"Principles: fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, security, accountability, governance "," ethical responsibility, privacy, data protection, trust",,,No
DOC_051,Hinrichs,Brazilian Artificial Intelligence Strategy (EBIA),"Ministry of Science, Technology, and Innovation (MCTI) of Brazil",2021.0,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/arquivosinteligenciaartificial/ebia-summary_brazilian_4-979_2021.pdf?utm_source=chatgpt.com,Government,gov,Brazil,,No,"Ministry of Science, Technology, and Innovation (MCTI) of Brazil, 2021",Brazilian Artificial Intelligence Strategy (EBIA),"Principles: inclusive growth, sustainable development, and well-being; human-centered values and equity; transparency and responsible disclosure; robustness, security, and safety; accountability; "," innovation, inclusivity, societal trust, ethical responsibility",,,No
DOC_052,Hinrichs,Building AI That Benefits Humanity,Google Deep Minds,2024.0,https://cloud.google.com/transform/building-ai-that-benefits-humanity-google-deepmind-responsible-ai-ethical-ai,Industry,ind,USA,,No,"Google Deep Minds, 2024",Building AI that Benefits Humanity,"Principles: safety, fairness, transparency, inclusivity, collaboration, ethical integration, addressing unintended consequences, fostering innovation responsibly; "," trustworthiness, ethical responsibility, societal benefit, inclusivity, sustainability",,,No
DOC_053,Hinrichs,Building Generative AI Responsibly,"Meta Platforms, Inc.",2023.0,https://ai.meta.com/static-resource/building-generative-ai-responsibly/?form=MG0AV3,Industy,ind,USA,,No,"Meta Platforms, Inc., 2023",Building Generative AI Responsibily,"Principles: Fairness and inclusion, robustness and safety, privacy and security, transparency, accountability, ethical development, user empowerment, environmental sustainability; "," Trust, responsibility, innovation, respect, inclusivity, sustainability​",,,No
DOC_054,Jobin,Business Ethics and Artificial Intelligence,Institute of Business Ethics,2018.0,,Business,ind,UK,,No,"Institute of Business Ethics, 2018",https://www.ibe.org.uk/resource/ibe-briefing-58-business-ethics-and-artificial-intelligence-pdf.html?form=MG0AV3,"ethics risk, workforce risk, technology risk",,,,No
DOC_055,Hinrichs,CDT Europe's AI Bulletin - February 2025,Center for Democracy and Technology (CDT),2025.0,https://cdt.org/insights/cdt-europes-ai-bulletin-february-2025/?form=MG0AV3,NGO,ngo,EU,,No,"Center for Democracy and Technology (CDT), 2025",CDT Europe's AI Bulletin - February 2025,"Principles: AI governance, transparency, human rights, democratic values, public interest expertise, innovation, liability; "," accountability, inclusivity, ethical responsibility, trustworthiness",,,No
DOC_056,Hinrichs,Center for the Governance of AI,Center for the Governance of AI,2025.0,https://www.governance.ai/,Academia,aca,USA,,No,"Center for the Governance of AI, 2025",Center for the Governance of AI - UK and USA,"Principles: Innovation, collaboration, competitiveness, talent development, data infrastructure, governance; "," Economic growth, technological leadership, human capital development, data-driven decision-making, ethical oversight​",,,No
DOC_057,Jobin,Charlevoix Common Vision for the Future of Artificial Intelligence,Leaders of the G7,2018.0,,Government,gov,Canada,,No,"Leaders of the G7, 2018",https://www.international.gc.ca/world-monde/assets/pdfs/international_relations-relations_internationales/g7/2018-06-09-artificial-intelligence-artificielle-en.pdf?form=MG0AV3,"Principles: Human-centric AI, privacy protection, cybersecurity, transparency, accountability, safety, inclusivity, gender equality, lifelong learning, multistakeholder engagement.
"," Human rights, economic growth, societal trust, innovation, diversity, empowerment, fairness, ethics, openness, collaboration.",,,No
DOC_058,Hinrichs,Chile Ethical Artificial Intelligence,"Ministry of Science, Technology, Knowledge, and Innovation, Chile",2023.0,https://blog.investchile.gob.cl/chile-ethical-artificial-intelligence?form=MG0AV3,Government,gov,Chile,,No,"Ministry of Science, Technology, Knowledge, and Innovation, Chile, 2023",Chile Ethical Artificial Intelligence,"Principles: proportionality, security, fairness, non-discrimination, gender equality, accessibility, sustainability, privacy, and data protection; "," ethical responsibility, equity, inclusivity, societal well-being",,,No
DOC_059,Harvard,Chile's Ethical Artificial Intelligence Framework,"Chile's Ministry of Science, Technology, Knowledge, and Innovation",2019.0,https://blog.investchile.gob.cl/chile-ethical-artificial-intelligence?form=MG0AV3&form=MG0AV3,Government,gov,Chile,,No,"Chile's Ministry of Science, Technology, Knowledge, and Innovation, 2019",Santiago Declaration to Promote Ethical AI in Latin America and the Caribbean,"Principles: proportionality, security, fairness, non-discrimination, gender equality, accessibility, sustainability, privacy and data protection; "," fairness, accessibility, sustainability, gender equality, proportionality",,,No
