Ethical Term,Frequency,Category,Fuzzy Matched Term,Recalibrated Category,Final Category
storage limitation,3,Unclassified,,,Unclassified
global interoperability,3,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
safeguarding information integrity,3,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
prudence,3,Unclassified,,,Unclassified
predictability,3,Unclassified,,,Unclassified
social benefit,3,Unclassified,,,Unclassified
addressing mis- and disinformation,3,Unclassified,,,Unclassified
fairness and equality,3,Core,Fairness,Personal Values,Personal Values
reproducibility,3,Unclassified,,,Unclassified
human privacy,3,Core,,,Core
use wisely and properly,3,Unclassified,,,Unclassified
open and share,3,Unclassified,,,Unclassified
be diverse and inclusive,3,Unclassified,,,Unclassified
responsibility and accountability,3,Core,Responsibility,Core Chosen,Core Chosen
be ethical,3,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
control risks,3,Unclassified,,,Unclassified
be responsible,3,Unclassified,,,Unclassified
for humanity,3,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
do good,3,Unclassified,,,Unclassified
principles and values,3,Unclassified,,,Unclassified
judicial transparency,3,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
race avoidance,3,Unclassified,,,Unclassified
science-policy link,3,Unclassified,,,Unclassified
research funding,3,Unclassified,,,Unclassified
research goal,3,Unclassified,,,Unclassified
liability,3,Unclassified,,,Unclassified
economic development,3,Unclassified,,,Unclassified
personal privacy,3,Core,,,Core
energy efficiency,3,Unclassified,,,Unclassified
regulatory,3,Unclassified,,,Unclassified
ai arms race,3,Unclassified,,,Unclassified
mas,3,Unclassified,Non-maleficence,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
technological sovereignty,3,Unclassified,,,Unclassified
capability caution,3,Unclassified,,,Unclassified
importance,3,Unclassified,,,Unclassified
recursive self-improvement,3,Unclassified,,,Unclassified
risks,3,Unclassified,,,Unclassified
non-subversion,3,Unclassified,,,Unclassified
shared benefit,3,Social,,,Social
liberty and privacy,3,Core,,,Core
ai safety,3,Core,,,Core
failure transparency,3,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
research culture,3,Unclassified,,,Unclassified
legal compliance,2,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
global collaboration,2,Social,Global Impact,Structural Values (Systems),Structural Values (Systems)
contextual,2,Unclassified,,,Unclassified
repeatability,2,Unclassified,,,Unclassified
regulatory compliance,2,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
confidentiality,2,Unclassified,,,Unclassified
lawfulness,2,Unclassified,,,Unclassified
equitable development,2,Unclassified,,,Unclassified
multi-stakeholder and adaptive governance and collaboration,2,Social,Ethical Governance,Ethical Governance,Ethical Governance
awareness and literacy,2,Unclassified,,,Unclassified
human oversight and determination,2,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
bias minimization,2,Unclassified,,,Unclassified
trustworthy ai,2,Social,Trust,Collective Social Values (Societal),Collective Social Values (Societal)
long-term vision,2,Unclassified,,,Unclassified
national prosperity,2,Unclassified,,,Unclassified
and explainability,2,Core,,,Core
reliable,2,Unclassified,,,Unclassified
promotion of human rights,2,Social,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
addressing unintended consequences,2,Unclassified,,,Unclassified
public-private collaboration,2,Social,,,Social
"com
values",2,Unclassified,,,Unclassified
honesty,2,Unclassified,Honesty,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
privacy and data governance,2,Core,Ethical Governance,Ethical Governance,Ethical Governance
be made available for uses that accord with these principles,2,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
uphold high standards of scientific excellence,2,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
incorporate privacy design principles,2,Core,,,Core
be accountable to people,2,Unclassified,,,Unclassified
be built and tested for safety,2,Core,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
avoid creating or reinforcing unfair bias,2,Unclassified,,,Unclassified
do no harm,2,Unclassified,,,Unclassified
be socially beneficial,2,Unclassified,,,Unclassified
ai sovereignty,2,Unclassified,,,Unclassified
respect for human dignity,2,Social,Respect,Virtues,Virtues
societal dialogue,2,Unclassified,,,Unclassified
technological innovation,2,Unclassified,,,Unclassified
selfless service,2,Unclassified,,,Unclassified
seva,2,Unclassified,,,Unclassified
lineage,2,Unclassified,,,Unclassified
conceptual,2,Unclassified,,,Unclassified
evaluative,2,Unclassified,,,Unclassified
compliance,2,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
ethics and regulation,2,Unclassified,,,Unclassified
robustness and security,2,Core,,,Core
bias and fairness,2,Core,Fairness,Personal Values,Personal Values
interpretability and explainability,2,Core,,,Core
promotion of human values,2,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
bias mitigation,2,Unclassified,,,Unclassified
human responsibility,2,Core,Responsibility,Core Chosen,Core Chosen
ethical standards,2,Unclassified,,,Unclassified
intellect,2,Unclassified,,,Unclassified
nafs,2,Unclassified,,,Unclassified
life,2,Unclassified,,,Unclassified
preservation of faith,2,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
human judgment,2,Unclassified,,,Unclassified
social stability,2,Unclassified,,,Unclassified
professional responsibility,2,Core,Responsibility,Core Chosen,Core Chosen
safety and control,2,Core,,,Core
ethical integrity,2,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
economic and workforce considerations,2,Unclassified,,,Unclassified
auditability,2,Unclassified,,,Unclassified
workforce adaptation,2,Unclassified,,,Unclassified
promotion of fairness and justice,2,Core,Fairness,Personal Values,Personal Values
respect human rights,2,Social,Respect,Virtues,Virtues
fostering innovation responsibly,2,Unclassified,,,Unclassified
nasl,2,Unclassified,,,Unclassified
ethical design,2,Unclassified,,,Unclassified
ethical integration,2,Unclassified,,,Unclassified
broadly distributed benefits,2,Unclassified,,,Unclassified
long-term safety,2,Core,,,Core
technical leadership,2,Unclassified,,,Unclassified
cooperative orientation,2,Unclassified,,,Unclassified
intellectual property rights,2,Unclassified,,,Unclassified
user data rights,2,Unclassified,,,Unclassified
humanity,2,Unclassified,,,Unclassified
ai governance framework,2,Unclassified,,,Unclassified
healthcare,2,Unclassified,,,Unclassified
risk assessment,2,Unclassified,,,Unclassified
smart cities and infrastructure,2,Unclassified,,,Unclassified
smart mobility and transportation,2,Unclassified,,,Unclassified
data availability and quality,2,Unclassified,,,Unclassified
skilled workforce,2,Unclassified,,,Unclassified
skilling for the ai age,2,Unclassified,,,Unclassified
accelerating adoption,2,Unclassified,,,Unclassified
impartiality,2,Unclassified,,,Unclassified
fundamental rights,2,Unclassified,,,Unclassified
preservation of fundamental aspects of human existence,2,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
fostering innovation,2,Unclassified,,,Unclassified
and wealth,2,Unclassified,,,Unclassified
diversity and inclusion,2,Social,,,Social
technical robustness and safety,2,Core,,,Core
protection of privacy and intimacy,2,Core,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
ai ethics,2,Unclassified,Digital Ethics (Emerging),Normative,Normative
data ownership,2,Unclassified,,,Unclassified
transparency and responsible disclosure,2,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
ethical conduct,2,Unclassified,,,Unclassified
respect for individual rights,2,Social,Respect,Virtues,Virtues
data accessibility,2,Social,,,Social
public interest expertise,2,Unclassified,,,Unclassified
equality and non-discrimination,2,Social,Non-maleficence,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
security and safety,2,Core,,,Core
safe,2,Unclassified,,,Unclassified
controllability,2,Unclassified,,,Unclassified
infrastructure,2,Unclassified,,,Unclassified
public-private partnerships,2,Unclassified,,,Unclassified
education and training,2,Unclassified,,,Unclassified
stakeholder engagement,2,Unclassified,,,Unclassified
data integrity,2,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
contestability,2,Unclassified,,,Unclassified
social equity,2,Unclassified,,,Unclassified
dual-use awareness,2,Unclassified,,,Unclassified
privacy and security by design,2,Core,,,Core
user autonomy,2,Core,,,Core
human-centered values and equity,2,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
adherence to social ethics,2,Unclassified,Social Harmony,Regulatory,Regulatory
interdependence,2,Unclassified,,,Unclassified
ethical ai governance,2,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
public-private partnership,2,Unclassified,,,Unclassified
regulation,2,Unclassified,,,Unclassified
safeguarding national security and public interests,2,Core,,,Core
protection of citizens,2,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
human-centric,2,Unclassified,,,Unclassified
compliance with laws and regulations,2,Unclassified,Compliance,Structural Values (Systems),Structural Values (Systems)
legitimate rights,2,Unclassified,,,Unclassified
ai regulation,2,Unclassified,,,Unclassified
comply with laws and regulations,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
this shift has been linked to google,1,Unclassified,,,Unclassified
balancing agility and security,1,Core,,,Core
principles include inclusive growth,1,Unclassified,,,Unclassified
agentic ai for autonomous decision-making,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
aligning with broader industry trends,1,Unclassified,,,Unclassified
and accountability,1,Core,Accountability,Virtues,Virtues
values emphasize innovation,1,Unclassified,,,Unclassified
data quality,1,Unclassified,,,Unclassified
scientific excellence,1,Unclassified,,,Unclassified
and responsible business conduct,1,Unclassified,,,Unclassified
s intent to engage more flexibly in defense and security sectors,1,Core,,,Core
the,1,Unclassified,Authenticity,Behavioral,Behavioral
ensure the safety and robustness of ai systems,1,Core,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
societal engagement,1,Unclassified,,,Unclassified
act with integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
ensure transparency,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
respect privacy,1,Core,Respect,Virtues,Virtues
avoid unfair discrimination,1,Unclassified,,,Unclassified
contribute to sustainable development,1,Unclassified,,,Unclassified
ethics and values,1,Unclassified,Digital Ethics (Emerging),Normative,Normative
engage in dialogue with society,1,Unclassified,,,Unclassified
update removed explicit prohibitions against developing ai for weapons or surveillance technologies,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
risk-assessment,1,Unclassified,,,Unclassified
notably,1,Unclassified,,,Unclassified
beneficial ai,1,Unclassified,,,Unclassified
collective well-being,1,Unclassified,,,Unclassified
longer-term issues,1,Unclassified,,,Unclassified
adherence to core socialist values,1,Unclassified,,,Unclassified
enable transparency and explainability,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
advance security,1,Core,,,Core
human control of technology,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
and reliability,1,Core,,,Core
design for privacy,1,Core,,,Core
promote equity and inclusion,1,Unclassified,,,Unclassified
protect the environment,1,Unclassified,,,Unclassified
patient safety,1,Core,,,Core
equitable access,1,Unclassified,,,Unclassified
legal oversight,1,Unclassified,,,Unclassified
patient privacy,1,Core,,,Core
protection of minors,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
high-quality ai development,1,Unclassified,,,Unclassified
algorithmic fairness,1,Core,Fairness,Personal Values,Personal Values
adl,1,Unclassified,,,Unclassified
karamah,1,Unclassified,,,Unclassified
ooliyyah,1,Unclassified,,,Unclassified
physician involvement,1,Unclassified,,,Unclassified
excellence,1,Unclassified,,,Unclassified
inclusivity values,1,Social,,,Social
ethical usage,1,Unclassified,Ethical Localization,Personal Values,Personal Values
social harmony,1,Unclassified,Social Harmony,Regulatory,Regulatory
intellectual property protection,1,Unclassified,,,Unclassified
contribute to the peace and happiness of humanity,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
fostering openness and collaboration,1,Social,,,Social
encouraging inclusivity and shared responsibility,1,Core,Responsibility,Core Chosen,Core Chosen
ensuring security and privacy,1,Core,,,Core
commitment to progress,1,Unclassified,,,Unclassified
ethical ai considerations,1,Unclassified,,,Unclassified
business and investment support,1,Unclassified,,,Unclassified
technical support,1,Unclassified,,,Unclassified
and societal considerations,1,Unclassified,,,Unclassified
shared datasets and environments,1,Unclassified,,,Unclassified
improving research effectiveness,1,Unclassified,,,Unclassified
standards and benchmarks,1,Unclassified,,,Unclassified
"international collaboration
values",1,Social,,,Social
responsible innovation,1,Unclassified,,,Unclassified
innovation in ai research methods,1,Unclassified,,,Unclassified
investment in ai research and development values,1,Unclassified,,,Unclassified
promotion of big data education,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
support for data-driven businesses,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
ethical stewardship,1,Unclassified,,,Unclassified
cooperative risk management,1,Unclassified,,,Unclassified
human-oriented ai,1,Unclassified,,,Unclassified
multi-stakeholder governance,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
democracy and rule of law,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
peaceful society,1,Unclassified,,,Unclassified
diversity and inclusiveness,1,Social,,,Social
fostering a robust ai ecosystem,1,Unclassified,,,Unclassified
legal,1,Unclassified,,,Unclassified
ethical,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
safe innovation,1,Unclassified,,,Unclassified
industry leaders,1,Unclassified,,,Unclassified
knowledge,1,Unclassified,,,Unclassified
recommendations for policymakers,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
caution,1,Unclassified,,,Unclassified
democratic integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
transparency and oversight,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
accountability and responsibility,1,Core,Responsibility,Core Chosen,Core Chosen
ethical principles,1,Unclassified,,,Unclassified
opportunities and risks of ai,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
democratic governance,1,Unclassified,,,Unclassified
redress,1,Unclassified,,,Unclassified
digital competence,1,Unclassified,,,Unclassified
responsible development,1,Unclassified,,,Unclassified
global leadership,1,Unclassified,,,Unclassified
pro-innovation,1,Unclassified,,,Unclassified
long-term investments in responsible ai research,1,Unclassified,,,Unclassified
public benefit,1,Unclassified,,,Unclassified
innovation through generative ai,1,Unclassified,,,Unclassified
"prevention
values",1,Unclassified,,,Unclassified
protecting human rights,1,Social,,,Social
innovation and growth,1,Unclassified,,,Unclassified
knowledge-based economy,1,Unclassified,,,Unclassified
startup acceleration,1,Unclassified,,,Unclassified
ai-driven economic diversification,1,Unclassified,,,Unclassified
access to computational resources,1,Unclassified,,,Unclassified
ethical norms,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
fostering responsible innovation,1,Unclassified,,,Unclassified
ensuring privacy and data protection,1,Core,,,Core
product development,1,Unclassified,,,Unclassified
promoting ethical ai use,1,Unclassified,,,Unclassified
addressing socio-economic challenges,1,Unclassified,,,Unclassified
advancing technological sovereignty,1,Unclassified,,,Unclassified
sustainable development and well-being,1,Unclassified,,,Unclassified
stakeholders values,1,Unclassified,,,Unclassified
human rights and democratic values,1,Social,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
applied ai ethics support,1,Unclassified,,,Unclassified
investor connections,1,Unclassified,,,Unclassified
ai ethics committee,1,Unclassified,,,Unclassified
foresight,1,Unclassified,,,Unclassified
fostering innovation in targeted sectors such as healthcare,1,Unclassified,,,Unclassified
leveraging ai for economic growth and inclusivity,1,Social,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
ethical ai development and use,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
promoting data privacy and security,1,Core,,,Core
importation of best practices,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
collaborative research,1,Unclassified,,,Unclassified
proactive mitigation,1,Unclassified,,,Unclassified
mitigating biases and ensuring fairness,1,Core,Fairness,Personal Values,Personal Values
smart cities,1,Unclassified,,,Unclassified
increased turnover,1,Unclassified,,,Unclassified
and mobility,1,Unclassified,,,Unclassified
economic empowerment,1,Unclassified,,,Unclassified
economic competitiveness,1,Unclassified,,,Unclassified
new product introduction,1,Unclassified,,,Unclassified
international leadership,1,Unclassified,,,Unclassified
job creation,1,Unclassified,,,Unclassified
team expansion,1,Unclassified,,,Unclassified
shared public resources,1,Unclassified,,,Unclassified
quality education,1,Unclassified,,,Unclassified
continuous learning,1,Unclassified,,,Unclassified
responsible algorithmic decisions,1,Unclassified,,,Unclassified
promotion of innovation,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
human welfare,1,Unclassified,,,Unclassified
nondiscrimination,1,Unclassified,,,Unclassified
purposeful,1,Unclassified,,,Unclassified
effective and safe,1,Unclassified,,,Unclassified
secure and private,1,Unclassified,,,Unclassified
fair and equitable,1,Unclassified,,,Unclassified
transparent and explainable,1,Unclassified,,,Unclassified
accountable and monitored,1,Unclassified,,,Unclassified
rinciples,1,Unclassified,,,Unclassified
equity and fairness,1,Core,Fairness,Personal Values,Personal Values
tackling technological challenges and leveraging opportunities,1,Unclassified,,,Unclassified
user agency,1,Unclassified,,,Unclassified
ethical ai education,1,Unclassified,,,Unclassified
public perception analysis,1,Unclassified,,,Unclassified
respect for human rights and human dignity,1,Social,Respect,Virtues,Virtues
living in peaceful just and interconnected societies,1,Unclassified,,,Unclassified
ensuring diversity and inclusiveness,1,Social,,,Social
environmental and ecosystem flourishing,1,Unclassified,Human Flourishing,Contextual and Evaluative Elements,Contextual and Evaluative Elements
proportionality and do no harm,1,Unclassified,,,Unclassified
beneficial use,1,Unclassified,,,Unclassified
progressive development,1,Unclassified,,,Unclassified
openness and transparency,1,Core,Transparency,Relationtional Social Values (Interpersonal),Relationtional Social Values (Interpersonal)
people-centered development,1,Unclassified,,,Unclassified
social impact,1,Unclassified,,,Unclassified
effective remedy,1,Unclassified,,,Unclassified
promoting international cooperation on ai standards to ensure fairness,1,Core,,,Core
and shared global benefits,1,Unclassified,Global Impact,Structural Values (Systems),Structural Values (Systems)
minimization of harm,1,Unclassified,Rule of Law,Digital Ethics (Emerging),Digital Ethics (Emerging)
addressing misuse and misinformation,1,Unclassified,,,Unclassified
ethical integration into society,1,Unclassified,Ethical Governance,Ethical Governance,Ethical Governance
equal opportunity,1,Unclassified,,,Unclassified
financial literacy,1,Unclassified,,,Unclassified
justice and fairness,1,Core,Fairness,Personal Values,Personal Values
nature,1,Unclassified,Respect for Nature,Relational Social Values (Interpersonal,Relational Social Values (Interpersonal
sustainable development values,1,Unclassified,,,Unclassified
efficiency,1,Unclassified,,,Unclassified
editorial integrity,1,Unclassified,Integrity,Aspirational Social Values (Goals),Aspirational Social Values (Goals)
journalistic responsibility,1,Core,Responsibility,Core Chosen,Core Chosen
pattern recognition,1,Unclassified,,,Unclassified
predictive modeling,1,Unclassified,,,Unclassified
real-time monitoring,1,Unclassified,,,Unclassified
access to effective remedy,1,Unclassified,,,Unclassified
