Document ID,Title,Researcher,Year,Issuer,Country,Source URL,Extracted Terms,Normalized Values,Values Referenced,Principles Mentioned,Downloaded,Source Group,Notes
D011,"AI Ethics: Principles, Frameworks & Governance",Hinrichs,2025.0,Cimphony AI,International,"AI Ethics: Principles, Frameworks & Governance","Principles: fairness, transparency, human control, doing good, avoiding harm, bias minimization, explainability, data protection; Values: ethical responsibility, societal trust, inclusivity, fairness, safety"," ethical responsibility, societal trust, inclusivity, fairness, safety",,,N,Hinrichs,
D012,AI for Africa Blueprint,Hinrichs,2021.0,Smart Africa & Republic of South Africa,South Africa (Pan-African Scope),South Africa AI Strategy,"Principles: Human-centric AI, ethical AI, transparency, fairness, international collaboration, environmental sustainability, inclusive growth, responsible AI governance, digital infrastructure, AI sovereignty; Values: Public trust, collective progress, economic development, innovation, empowerment, social responsibility, regional integration, digital inclusion, African autonomy"," Public trust, collective progress, economic development, innovation, empowerment, social responsibility, regional integration, digital inclusion, African autonomy",,,N,Hinrichs,
D013,AI for Good - Alibaba’s Vision for Tackling Global Challenges,Hinrichs,2025.0,Alibaba Group,China,AI for Good: Alibaba's Vision for Tackling Global Challenges,"Principles: climate risk mitigation, healthcare innovation, agricultural advancement, scientific discovery, educational enhancement; Values: sustainability, societal well-being, innovation, inclusivity"," sustainability, societal well-being, innovation, inclusivity",,,N,Hinrichs,
D014,Digital Ethics – Deutsche Telekom's AI Guidelines,Jobin,2018.0,Deutsche Telekom,Germany,Deutsche Telekom,"Principles: responsible, careful, supporting, transparent, secure, reliable, trustworthy, cooperative, illustrative; Values: customer satisfaction, innovation, integrity, social responsibility"," customer satisfaction, innovation, integrity, social responsibility",,,N,Jobin,
D015,AI in Islamic Ethics: Towards Pluralist Ethical Benchmarking for AI,Hinrichs,2023.0,"College of Law, Qatar University (Author: Ezieddin Elmahjub)",Qatar,AI in Islamic Ethics,"Principles: Justice (ʿadl), human dignity (karāmah), responsibility (mas’ūliyyah), public interest (maṣlaḥa), preservation of faith (dīn), life (nafs), intellect (ʿaql), lineage (nasl), and wealth (māl).​
Values: Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence."," Justice, human dignity, responsibility, public interest, preservation of fundamental aspects of human existence.",,,N,Hinrichs,
D016,"AI in the UK: Ready, Willing and Able?",Harvard,2018.0,House of Lords Select Committee on Artificial Intelligence,UK,"AI in the UK: Ready, WIlling and Able 2019","Principles: transparency, accountability, fairness, justice, privacy, sustainability, responsibility, non-maleficence; Values: ethical responsibility, inclusivity, societal trust, human-centric development"," ethical responsibility, inclusivity, societal trust, human-centric development",,,N,Harvard,
D017,"AI in the UK: Ready, Willing and Able?",Floridi,2018.0,House of Lords Select Committee on Artificial Intelligence,UK,"AI in the UK: Ready, WIlling and Able? 2018","Principles: transparency, accountability, fairness, security, safety, human dignity, well-being, non-discrimination, justice; Values: ethical responsibility, inclusivity, societal trust, human-centric development"," ethical responsibility, inclusivity, societal trust, human-centric development",,,N,Floridi,
D018,"AI in the UK: Ready, Willing and Able?",Jobin,2018.0,House of Lords Select Committee on Artificial Intelligence,UK,"AI in the UK: ready, willing and able?","Principles: transparency, accountability, fairness, justice, privacy, sustainability, responsibility, non-maleficence Values: ethical responsibility, inclusivity, societal trust, human-centric development"," ethical responsibility, inclusivity, societal trust, human-centric development",,,N,Jobin,
D019,AI Now 2017 Report,Jobin,2017.0,AI Now Institute,USA,AI Now 2017 Report,"Principles: labor and automation, bias and inclusion, rights and liberties, ethics and governance; Values: fairness, transparency, accountability, inclusivity"," fairness, transparency, accountability, inclusivity",,,N,Jobin,
D020,AI Opportunities Action Plan,Hinrichs,2025.0,UK Government,UK,AI Opportunity Action Plan,"Principles: economic growth, public service enhancement, infrastructure development, talent and research; Values: innovation, societal well-being, inclusivity, sustainability"," innovation, societal well-being, inclusivity, sustainability",,,N,Hinrichs,
D021,AI Policy and Governance,Hinrichs,2025.0,Center for Democracy and Technology (CDT),USA,"AI Policy and Governance

","Principles: AI governance, transparency, human rights, democratic values, public interest expertise, innovation, liability; Values: accountability, inclusivity, ethical responsibility, trustworthiness"," accountability, inclusivity, ethical responsibility, trustworthiness",,,N,Hinrichs,
D022,Asilomar AI Principles,Jobin,2017.0,Future of Life Institute,USA,Asilomar AI Principles,"Principles: research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment Values: human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good"," human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good",,,N,Jobin,
D023,AI Ethics Principles,Jobin,2019.0,Smart Dubai,UAE,https://www.digitaldubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf?form=MG0AV3,Using the NBRC Classification: Fairness - Normative (Foundational): reflects universal moral aspiration toward quality and justice. Accountability - Regulatory (Operational): enables traceability and enforceability within governance structures. Transparency - Normative (Operational): bridges principle with implementation; vital for pbulic trust. Explainability - Behavioral (Contextual): enables individual understand and ethical interaction with AI systems.,,,,N,Jobin,
D024,AI Principles of Telefónica,Jobin,2018.0,Telefónica,Spain,https://www.telefonica.com/wp-content/uploads/sites/7/2021/11/principios-ai-eng-2018.pdf,"fair AI, transparent and explainable AI, human-centric AI, privacy and security by design",,,,N,Jobin,
D025,AI Strategy for Mexico,Harvard,2018.0,"British Embassy in Mexico, in collaboration with Oxford Insights and C Minds​",Mexico,AI Strategy for Mexico,"Principles: governance, government and public services, research and development, capacity, skills and education, data infrastructure, ethics and regulation Values: inclusivity, innovation, transparency, accountability, ethical responsibility"," inclusivity, innovation, transparency, accountability, ethical responsibility",,,N,Harvard,
D026,Aligning Artificial Intelligence and Climate Governance,Hinrichs,2021.0,United Nations University (UNU),International,Aligning AI and Climate Governance,"Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; Values: ecological preservation, ethical responsibility, innovation, accountability, global cooperation"," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,N,Hinrichs,
D027,Annual Report of the CIFAR Pan-Canadian AI Strategy,Hinrichs,2019.0,Canadian Institute for Advanced Research (CIFAR),Canada,Canada National AI Strategy,"Principles: Transparency, innovation, collaboration, research excellence, ethical AI, workforce development, societal impact, economic growth, sustainability, public-private partnership; Values: Scientific advancement, knowledge sharing, inclusivity, public trust, responsible AI deployment"," Scientific advancement, knowledge sharing, inclusivity, public trust, responsible AI deployment",,,N,Hinrichs,
D028,Argentina National AI Strategy,Harvard,2018.0,Task Force on the Future of Work and Education for the Digital Era (T20 Argentina),Argentina,Argentina AI Strategy,"Principles: equity, inclusivity, quality education, lifelong learning, innovation, collaboration; Values: equity, lifelong learning, innovation, inclusivity, collaboration"," equity, lifelong learning, innovation, inclusivity, collaboration",,,N,Harvard,
D029,Artificial Intelligence (AI) in Health,Jobin,2018.0,Royal College of Physicians,UK,https://www.rcp.ac.uk/policy-and-campaigns/policy-documents/artificial-intelligence-ai-in-health,"transparency, accountability, fairness, justice, human-centered AI, safety, security, sustainability, privacy",,,,N,Jobin,
D030,Artificial Intelligence Act,Floridi,2021.0,European Union,EU,Artificial Intelligence Act EU,"Principles: fairness, transparency, accountability; Values: ethical AI use, inclusivity, trustworthiness"," ethical AI use, inclusivity, trustworthiness",,,N,Floridi,
D031,Artificial Intelligence Act,Jobin,2021.0,European Union,EU,https://artificialintelligenceact.eu/the-act/?form=MG0AV3,"Principles: fairness, transparency, accountability; Values: ethical AI use, inclusivity, trustworthiness"," ethical AI use, inclusivity, trustworthiness",,,N,Jobin,
D032,Artificial Intelligence Act (AI Act),Hinrichs,2024.0,European Union,EU,Artificial Intelligence Act (AI Act),"Principles: fairness, transparency, accountability, risk-based classification, unacceptable risk, high risk, limited risk, minimal risk, governance and enforcement, conformity assessments; Values: global influence, ethical AI governance, trustworthiness, safety"," global influence, ethical AI governance, trustworthiness, safety",,,N,Hinrichs,
D033,Artificial Intelligence and Climate Change,Hinrichs,2020.0,Heinrich Böll Stiftung,Germany,Artificial Intelligence and Climate Change,"Principles: environmental sustainability, responsible AI development, energy efficiency, transparency, interdisciplinary collaboration; Values: ecological preservation, ethical responsibility, innovation, accountability, global cooperation"," ecological preservation, ethical responsibility, innovation, accountability, global cooperation",,,N,Hinrichs,
D034,Artificial Intelligence and Machine Learning: Policy Paper,Jobin,2017.0,Internet Society,USA,https://www.internetsociety.org/resources/doc/2017/artificial-intelligence-and-machine-learning-policy-paper/?form=MG0AV3,"ethical considerations, interpretability, empowerment, responsibility, accountability, inclusive participation",,,,N,Jobin,
D035,Artificial Intelligence Policy Priorities,Hinrichs,2025.0,U.S. Senate (Senator Martin Heinrich),USA,Artificial Intelligence Policy Priorities,"Principles: artificial intelligence initiative act, national strategy for AI leadership, AI policy roadmap, AI regulation, AI ethics, AI research funding, workforce development, AI safety and security; Values: innovation, accountability, ethical responsibility, inclusivity, societal trust"," innovation, accountability, ethical responsibility, inclusivity, societal trust",,,N,Hinrichs,
D036,Artificial Intelligence Research Programme,Hinrichs,2025.0,The Alan Turing Institute,UK,Artificial Intelligence Research Program,"Principles: safe and ethical AI, human-AI interfaces and robotics, multi-agent systems; Values: innovation, ethical responsibility, collaboration, inclusivity"," innovation, ethical responsibility, collaboration, inclusivity",,,N,Hinrichs,
D037,Artificial Intelligence Strategy,Hinrichs,2021.0,"Economic Affairs Ministry, the Research Ministry, and the Labour Ministry",Germany,Germany Artificial Intelligence Strategy,"Principles: Innovation, transparency, security, trust, data protection, ethical AI, human-centric development, sustainability, economic growth, fairness, digital sovereignty, accountability; Values: Public trust, responsible AI deployment, social inclusion, competitiveness, knowledge sharing"," Public trust, responsible AI deployment, social inclusion, competitiveness, knowledge sharing",,,N,Hinrichs,
D038,Artificial Intelligence Technology Strategy,Hinrichs,2017.0,"Strategic Council for AI Technology, Government of Japan",Japan,Japan  AI Strategy,"Principles: AI-driven industrialization, research and development, international collaboration, cybersecurity, responsible AI, public-private partnerships, AI education, technological advancement, sustainability; Values: Economic progress, technological leadership, knowledge sharing, global competitiveness, ethical responsibility"," Economic progress, technological leadership, knowledge sharing, global competitiveness, ethical responsibility",,,N,Hinrichs,
D039,"Artificial Intelligence. Australia’s Ethics Framework: A Discussion Paper, ",Jobin,2019.0,Department of Industry Innovation and Science,Australia,https://www.csiro.au/-/media/D61/Reports/Artificial-Intelligence-ethics-framework.pdf?utm_source=chatgpt.com,"Principles: accountability, transparency, fairness, privacy, security, inclusivity, sustainability, human-centric design, explainability, ethical deployment; Values: trustworthiness, societal well-being, respect for human rights, fairness, privacy, data protection, inclusivity, environmental sustainability"," trustworthiness, societal well-being, respect for human rights, fairness, privacy, data protection, inclusivity, environmental sustainability",,,N,Jobin,
D040,Artificial Intelligence. The Public Policy Opportunity,Jobin,2017.0,Intel Corporation,USA,https://community.intel.com/legacyfs/online/files/Intel-Artificial-Intelligence-Public-Policy-White-Paper-2017.pdf,"Principles: foster innovation and open development, create new human employment opportunities and protect people’s welfare, liberate data responsibly, rethink privacy Values: innovation, responsibility, privacy, ethical data use"," innovation, responsibility, privacy, ethical data use",,,N,Jobin,
D041,Artificial Intelligence: Open Questions About Gender Inclusion,Jobin,2018.0,W20,Portugal,https://webfoundation.org/docs/2018/06/AI-Gender.pdf?form=MG0AV3,"Inclusivity, transparency, fairness, accountability, equity, diversity, safety and security, ethical governance, accessibility, impact assessment.",,,,N,Jobin,
D042,"Artificial Intelligence: Solving Problems, Growing the Economy, and Improving Our Quality of Life",Hinrichs,2019.0,Commonwealth Scientific and Industrial Research Organisation (CSIRO) Data61,Australia,CSIRO Artificial Intelligence Roadmap for Australia,"Principles: Economic growth, innovation, data governance, cybersecurity, trust, workforce development, ethical AI, sustainability, interoperability, infrastructure; Values: Productivity, national competitiveness, digital inclusion, environmental responsibility, human well-being"," Productivity, national competitiveness, digital inclusion, environmental responsibility, human well-being",,,N,Hinrichs,
D043,Artificial Intelligence: The Road Ahead in Low and Middle-Income Countries,Hinrichs,2017.0,Future Advocacy,UK,Artificial Intelligence: The Road Ahead in Low and Middle-Income Countries,"Principles: addressing development challenges, capacity building, ethical considerations, collaborative efforts Values: innovation, inclusivity, ethical responsibility, collaboration"," innovation, inclusivity, ethical responsibility, collaboration",,,N,Hinrichs,
D044,Asilomar AI Principles,Harvard,2017.0,Future of Life Institute,USA,Asilomar AI Principles,"Principles: Research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment, human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good. Values: Beneficial intelligence, safety, transparency, responsibility, human dignity, shared prosperity, global well-being."," Beneficial intelligence, safety, transparency, responsibility, human dignity, shared prosperity, global well-being.",,,N,Harvard,
D045,Asilomar AI Principles,Floridi,2017.0,Future of Life Institute,USA,Asilomar AI Principles,"Principles: research goal, research funding, science-policy link, research culture, race avoidance, safety, failure transparency, judicial transparency, responsibility, value alignment, human values, personal privacy, liberty and privacy, shared benefit, shared prosperity, human control, non-subversion, AI arms race, capability caution, importance, risks, recursive self-improvement, common good",,,,N,Floridi,
D046,Australia's AI Ethics Principles,Hinrichs,2019.0,"Australian Government, Department of Industry, Science and Resources",Australia,Austalia's AI Ethics Principles,"Principles: human, social, and environmental wellbeing; human-centered values; fairness; privacy protection and security; reliability and safety; transparency and explainability; contestability; accountability; Values: inclusivity, ethical responsibility, societal trust, sustainability"," inclusivity, ethical responsibility, societal trust, sustainability",,,N,Hinrichs,
D047,Baidu's AI Ethics Principles,Hinrichs,2025.0,Baidu Inc.,China,Baidu's AI Ethics Principles,"Principles: safe and controllable, promote equal access to technology, empower human learning and growth; Values: bring more freedom and possibilities to humankind", bring more freedom and possibilities to humankind,,,N,Hinrichs,
D048,Bases para la Agenda Digital Argentina,Hinrichs,2018.0,Government of Argentina,Argentina,Argentina National AI Strategy,"Principles: Digital inclusion, transparency, privacy, cybersecurity, data protection, accessibility, economic development, infrastructure, digital literacy, public trust; Values: Economic growth, innovation, social equity, accessibility, digital sovereignty"," Economic growth, innovation, social equity, accessibility, digital sovereignty",,,N,Hinrichs,
D049,Beijing AI Principles,Harvard,2019.0,Beijing Academy of Artificial Intelligence (BAAI),China,Beijing AI Principles,"Principles: do good, for humanity, be responsible, control risks, be ethical, be diverse and inclusive, open and share, use wisely and properly, informed consent, education and training, optimizing employment, harmony and cooperation, adaptation and moderation, subdivision and implementation, long-term planning Values: societal well-being, ethical responsibility, inclusivity, collaboration, sustainability"," societal well-being, ethical responsibility, inclusivity, collaboration, sustainability",,,N,Harvard,
D050,Beijing AI Principles,Hinrichs,2019.0,Beijing Academy of Artificial Intelligence (BAAI),China,Beijing AI Principles,"Principles: do good, for humanity, be responsible, control risks, be ethical, be diverse and inclusive, open and share, use wisely and properly; Values: human privacy, dignity, freedom, autonomy, rights, fairness, transparency, explainability, predictability, traceability, accountability"," human privacy, dignity, freedom, autonomy, rights, fairness, transparency, explainability, predictability, traceability, accountability",,,N,Hinrichs,
D051,"Big Data, Artificial Intelligence, Machine Learning and Data Protection",Jobin,2017.0,Information Commissioner's Office (ICO),UK,https://ico.org.uk/media/for-organisations/documents/2013559/big-data-ai-ml-and-data-protection.pdf?form=MG0AV3,"Principles: fairness, transparency, purpose limitation, data minimization, accuracy, storage limitation, security, accountability, governance Values: ethical responsibility, privacy, data protection, trust"," ethical responsibility, privacy, data protection, trust",,,N,Jobin,
D052,Brazilian Artificial Intelligence Strategy (EBIA),Hinrichs,2021.0,"Ministry of Science, Technology, and Innovation (MCTI) of Brazil",Brazil,Brazilian Artificial Intelligence Strategy (EBIA),"Principles: inclusive growth, sustainable development, and well-being; human-centered values and equity; transparency and responsible disclosure; robustness, security, and safety; accountability; Values: innovation, inclusivity, societal trust, ethical responsibility"," innovation, inclusivity, societal trust, ethical responsibility",,,N,Hinrichs,
D053,Building AI That Benefits Humanity,Hinrichs,2024.0,Google Deep Minds,USA,Building AI that Benefits Humanity,"Principles: safety, fairness, transparency, inclusivity, collaboration, ethical integration, addressing unintended consequences, fostering innovation responsibly; Values: trustworthiness, ethical responsibility, societal benefit, inclusivity, sustainability"," trustworthiness, ethical responsibility, societal benefit, inclusivity, sustainability",,,N,Hinrichs,
D054,Building Generative AI Responsibly,Hinrichs,2023.0,"Meta Platforms, Inc.",USA,Building Generative AI Responsibily,"Principles: Fairness and inclusion, robustness and safety, privacy and security, transparency, accountability, ethical development, user empowerment, environmental sustainability; Values: Trust, responsibility, innovation, respect, inclusivity, sustainability​"," Trust, responsibility, innovation, respect, inclusivity, sustainability​",,,N,Hinrichs,
D055,Business Ethics and Artificial Intelligence,Jobin,2018.0,Institute of Business Ethics,UK,https://www.ibe.org.uk/resource/ibe-briefing-58-business-ethics-and-artificial-intelligence-pdf.html?form=MG0AV3,"ethics risk, workforce risk, technology risk",,,,N,Jobin,
D056,CDT Europe's AI Bulletin - February 2025,Hinrichs,2025.0,Center for Democracy and Technology (CDT),EU,CDT Europe's AI Bulletin - February 2025,"Principles: AI governance, transparency, human rights, democratic values, public interest expertise, innovation, liability; Values: accountability, inclusivity, ethical responsibility, trustworthiness"," accountability, inclusivity, ethical responsibility, trustworthiness",,,N,Hinrichs,
D057,Center for the Governance of AI,Hinrichs,2025.0,Center for the Governance of AI,USA,Center for the Governance of AI - UK and USA,"Principles: Innovation, collaboration, competitiveness, talent development, data infrastructure, governance; Values: Economic growth, technological leadership, human capital development, data-driven decision-making, ethical oversight​"," Economic growth, technological leadership, human capital development, data-driven decision-making, ethical oversight​",,,N,Hinrichs,
D058,Charlevoix Common Vision for the Future of Artificial Intelligence,Jobin,2018.0,Leaders of the G7,Canada,https://www.international.gc.ca/world-monde/assets/pdfs/international_relations-relations_internationales/g7/2018-06-09-artificial-intelligence-artificielle-en.pdf?form=MG0AV3,"Principles: Human-centric AI, privacy protection, cybersecurity, transparency, accountability, safety, inclusivity, gender equality, lifelong learning, multistakeholder engagement.
Values: Human rights, economic growth, societal trust, innovation, diversity, empowerment, fairness, ethics, openness, collaboration."," Human rights, economic growth, societal trust, innovation, diversity, empowerment, fairness, ethics, openness, collaboration.",,,N,Jobin,
D059,Chile Ethical Artificial Intelligence,Hinrichs,2023.0,"Ministry of Science, Technology, Knowledge, and Innovation, Chile",Chile,Chile Ethical Artificial Intelligence,"Principles: proportionality, security, fairness, non-discrimination, gender equality, accessibility, sustainability, privacy, and data protection; Values: ethical responsibility, equity, inclusivity, societal well-being"," ethical responsibility, equity, inclusivity, societal well-being",,,N,Hinrichs,
D060,Chile's Ethical Artificial Intelligence Framework,Harvard,2019.0,"Chile's Ministry of Science, Technology, Knowledge, and Innovation",Chile,Santiago Declaration to Promote Ethical AI in Latin America and the Caribbean,"Principles: proportionality, security, fairness, non-discrimination, gender equality, accessibility, sustainability, privacy and data protection; Values: fairness, accessibility, sustainability, gender equality, proportionality"," fairness, accessibility, sustainability, gender equality, proportionality",,,N,Harvard,
D061,China's Emerging Approach to Regulating General-Purpose Artificial Intelligence,Hinrichs,2023.0,Asia Society Policy Institute,USA,China's Emerging Approach to Regulating General-Purpose Artificial Intelligence,"Principles: Alignment with Core Socialist Values, content labeling, data sovereignty, algorithmic accountability, public-private collaboration, international competitiveness; Values: National security, social stability, ethical AI development, innovation, transparency"," National security, social stability, ethical AI development, innovation, transparency",,,N,Hinrichs,
D062,Claude's Constitution,Hinrichs,2023.0,Anthropic,USA,Claude's Constitution,"Principles: safety, helpfulness, harmlessness, honesty, fairness, transparency, respect for autonomy, protection of vulnerable individuals, refusal of illegal content, accuracy, clarity, responsibility; Values: human wellbeing, knowledge sharing, truthfulness, privacy, inclusivity, balance, thoughtfulness, respect, responsibility, intellectual exploration, human-AI collaboration; Morals: do no harm, respect autonomy, protect children and vulnerable individuals, refuse to create dangerous content, maintain intellectual honesty, support human flourishing, avoid manipulation, avoid reinforcing harmful biases; Ethics: beneficence, non-maleficence, transparency in limitations, respect for human dignity, fairness across diverse users, protection of privacy, refusal to create harmful content, promotion of human autonomy, avoidance of deception"," human wellbeing, knowledge sharing, truthfulness, privacy, inclusivity, balance, thoughtfulness, respect, responsibility, intellectual exploration, human-AI collaboration; Morals: do no harm, respect autonomy, protect children and vulnerable individuals, refuse to create dangerous content, maintain intellectual honesty, support human flourishing, avoid manipulation, avoid reinforcing harmful biases; Ethics: beneficence, non-maleficence, transparency in limitations, respect for human dignity, fairness across diverse users, protection of privacy, refusal to create harmful content, promotion of human autonomy, avoidance of deception",,,N,Hinrichs,
D063,Code of Ethics for Artificial Intelligence,Hinrichs,2020.0,UPC (Universitat Politècnica de Catalunya),Spain,Code of Ethics for Artificial Intelligence,"Principles: transparency, fairness, responsibility, privacy, inclusivity, sustainability, human oversight; Values: ethical responsibility, societal trust, equity, collaboration, long-term vision"," ethical responsibility, societal trust, equity, collaboration, long-term vision",,,N,Hinrichs,
D064,Code of Ethics for Artificial Intelligence,Hinrichs,2021.0,"Alliance for Artificial Intelligence (A-AI), Russia",Russian Federation,Code of Ethics for Artificial Intelligence,"Principles: legal compliance, responsibility and accountability, transparency, safety and security, continuous improvement; Values: human-centered approach, respect for autonomy, non-discrimination, risk and humanitarian impact assessment"," human-centered approach, respect for autonomy, non-discrimination, risk and humanitarian impact assessment",,,N,Hinrichs,
D065,Commitments and Principles,Jobin,2018.0,OP Group,Finland,https://www.op.fi/en/op-financial-group/corporate-social-responsibility/commitments-and-principles?form=MG0AV3,"Good banking and insurance practices, corporate responsibility policies, UN Principles of Responsible Banking, UN Global Compact Initiative Principles, Code of Business Ethics, commitment to the Paris Agreement",,,,N,Jobin,
D066,Confucian Ethics and Artificial Intelligence,Hinrichs,2022.0,"Institute of Philosophy, Chinese Academy of Sciences (CASIP)",China,Confucian Ethics and Artificial Intelligence,"Principles: benevolence, righteousness, propriety, wisdom, fidelity, relationality, harmony, moral cultivation; Values: ethical responsibility, societal harmony, relational integrity, moral wisdom"," ethical responsibility, societal harmony, relational integrity, moral wisdom",,,N,Hinrichs,
D067,Continental Artificial Intelligence Strategy,Hinrichs,2024.0,African Union,Africa,Continental AI Strategy,"Principles: local first, ethics and transparency, cooperation and integration; Values: people-centered, human rights and human dignity, peace and prosperity, inclusion and diversity"," people-centered, human rights and human dignity, peace and prosperity, inclusion and diversity",,,N,Hinrichs,
D068,Coordinated Plan on Artificial Intelligence 2021 Review,Hinrichs,2021.0,European Commission,EU,EU National AI Strategy,"Principles: Human-centric AI, transparency, trust, security, data governance, digital sovereignty, sustainability, AI safety, innovation, fairness, accountability, inclusivity, interoperability, AI governance, collaboration; Values: Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion"," Economic growth, societal well-being, environmental responsibility, competitiveness, responsible AI development, digital inclusion",,,N,Hinrichs,
D069,Declaration on Ethics and Data Protection in Artificial Intelligence,Jobin,2018.0,ICDPPC,France,https://www.privacyconference2018.org/system/files/2018-10/20180922_ICDPPC-40th_AI-Declaration_ADOPTED.pdf?form=MG0AV3,"purpose specification, accountability, transparency, ethics by design, empowerment, non-discrimination",,,,N,Jobin,
D070,Decree of the President of the Russian Federation on the Development of Artificial Intelligence in the Russian Federation,Hinrichs,2019.0,Office of the President of the Russian Federation,Russia,Mexico  AI Strategy,"Principles: Protection of human rights and liberties, security, transparency, AI governance, responsible AI, fairness, digital transformation, innovation-driven growth, workforce development; Values: National security, technological self-reliance, economic growth, global competitiveness, public trust"," National security, technological self-reliance, economic growth, global competitiveness, public trust",,,N,Hinrichs,
